tool	program_version	image	source	local_file	how_obtained	role	registry_digest	sif_sha256_prefix	notes
MetaPhinder	0.1	docker://multifractal/metaphinder:0.1	docker_hub	What_the_Phage/singularity_images/metaphinder_0.1.img	bash scripts/06_tool_execution/pull_tool_images.sh	benchmarked	sha256:acd152bf60aaf06e25091fb3281d16b2a59e5af68ebdb6d7b7cbbfaa36128f61	NA	What the Phage image
Sourmash	4.5.0	docker://nanozoo/sourmash:4.5.0--e12a57a	docker_hub	What_the_Phage/singularity_images/sourmash_4.5.0--e12a57a.img	bash scripts/06_tool_execution/pull_tool_images.sh	benchmarked	sha256:61a4b1c48b591be2508a77b7dcfeacd0945a774336e1d53e475722577fde5d24	NA	What the Phage image
VirSorter	0.1.2	docker://multifractal/virsorter:0.1.2	docker_hub	What_the_Phage/singularity_images/virsorter_0.1.2.img	bash scripts/06_tool_execution/pull_tool_images.sh	benchmarked	sha256:1352305b20d347ff466cb7fb6587e90d6136f4cb5f4897fb48470b59cad685ee	NA	What the Phage image
VirFinder	0.2	docker://multifractal/virfinder:0.2	docker_hub	What_the_Phage/singularity_images/virfinder_0.2.img	bash scripts/06_tool_execution/pull_tool_images.sh	benchmarked	sha256:929fd3620496933f911657c1e9bd9ed07094b0a259a68c570c57f65bcdcf44a1	NA	What the Phage image
VirSorter2	2.2.1	docker://papanikos/virsorter-2:2.2.1--fa935f8	docker_hub	What_the_Phage/singularity_images/virsorter-2_2.2.1--fa935f8.img	bash scripts/06_tool_execution/pull_tool_images.sh	benchmarked	sha256:df1542f099fd4a10319a4850ee8e9e10c4c86f1caf56c417f44576a39e994ac6	NA	What the Phage image
VIBRANT	1.0.1	docker://multifractal/vibrant:0.5	docker_hub	What_the_Phage/singularity_images/vibrant_0.5.img	bash scripts/06_tool_execution/pull_tool_images.sh	benchmarked	sha256:792c93174535bf7cca04f3c00d3fed2962dc95eb9efc9351625bdec2e28ddaeb	NA	What the Phage image; container tag 0.5, runtime logs report VIBRANT v1.0.1
DeepVirFinder	0.1	docker://multifractal/deepvirfinder:0.1	docker_hub	What_the_Phage/singularity_images/deepvirfinder_0.1.img	bash scripts/06_tool_execution/pull_tool_images.sh	benchmarked	sha256:124671135cee740da1b70560958478a8aa2d76076271670f0f9efebc70c5d426	NA	What the Phage image
PPR-Meta	0.3.1	docker://multifractal/ppr-meta:0.3.1	docker_hub	What_the_Phage/singularity_images/ppr-meta_0.3.1.img	bash scripts/06_tool_execution/pull_tool_images.sh	benchmarked	sha256:5b9f5bcb5e365d5e07ae1f8a541945eccba0cc74a7bc0c16d4d97c57390ff075	NA	What the Phage image
Seeker	0.1	docker://multifractal/seeker:0.1	docker_hub	What_the_Phage/singularity_images/seeker_0.1.img	bash scripts/06_tool_execution/pull_tool_images.sh	benchmarked	sha256:85b253d7b3f5dce674cd004bdc5a30239f846619b064a96ffb32a0868cf750a1	NA	What the Phage image
Jaeger	1.1.30	containers/jaeger/Singularity.def	built_from_definition	containers/jaeger/jaeger.sif	cd containers/jaeger && apptainer build --fakeroot jaeger.sif Singularity.def	benchmarked	NA	eee3f4fb95b98ef6	GPU; installs jaeger-bio[gpu] from PyPI (version not pinned)
HVSeeker	1.0	containers/hvseeker/hvseeker-dna-unified.def	built_from_definition	containers/hvseeker/hvseeker-dna.sif	cd containers/hvseeker && git clone https://github.com/BackofenLab/HVSeeker.git HVSeeker-DNA && apptainer build --fakeroot hvseeker-dna.sif hvseeker-dna-unified.def	benchmarked	NA	c01b348f61881ced	GPU; also needs containers/hvseeker/models/model_best_acc2_test_model.pt (upstream 500 bp padding model) and scripts/06_tool_execution/wrappers/hvseeker_wrapper.py
ViraLM	1.0 (commit b7a6f4e)	containers/viralm/Singularity.def	built_from_definition	containers/viralm/viralm.sif	place the upstream model files in containers/viralm/model/, then: cd containers/viralm && apptainer build --fakeroot --bind "$PWD/model:/mnt/ViraLM_model" viralm.sif Singularity.def	benchmarked	NA	b970cb790e660799	GPU; model embedded at build time; image contains upstream commit b7a6f4ed7f6dd92ca6fe5dcf8d64905be65f7680
TransGINmer	1.0	containers/transginmer/Singularity.def	built_from_definition	containers/transginmer/transginmer.sif	cd containers/transginmer && apptainer build --fakeroot transginmer.sif Singularity.def	benchmarked	NA	2bf3f853e4305a36	GPU; run through scripts/06_tool_execution/wrappers/transginmer_wrapper.py; image contains upstream commit 3d4af7ed1c31eb9e333f5062271edde8d3f56a6d
geNomad	1.11.2	docker://quay.io/biocontainers/genomad:1.11.2--pyhdfd78af_0	quay	containers/genomad/genomad.sif	bash scripts/06_tool_execution/setup_genomad.sh	benchmarked	sha256:374409c75f79716668d3ac324d902bd33b3057fb24a6b061162225d94052e745	7c2ad7d9bd90a3f1	setup_genomad.sh also downloads the geNomad database v1.9
CheckV	1.0.1	https://depot.galaxyproject.org/singularity/checkv:1.0.1--pyhdfd78af_0	galaxy_depot	singularity-images/checkv-1.0.1--pyhdfd78af_0.sif	pulled on first run by scripts/04_ground_truth/run_checkv.sh (also scripts/03_assembly/run_checkv_pooled.sh, scripts/05_spike_in/novel_discovery/discover_novel_spikes.sh)	ground_truth (E2)	NA	NA	BioContainers Singularity image
Phigaro	2.2.6	docker://multifractal/phigaro:0.5.2	docker_hub	What_the_Phage/singularity_images/phigaro_0.5.2.img	bash scripts/06_tool_execution/pull_tool_images.sh --with-phigaro	ground_truth (E3)	sha256:c87fe7f077a4cbca306bee013d71ef093b3fc1f8c8ef2cbbd76bab807cec4319	NA	What the Phage image; container tag 0.5.2, phigaro --version in the image reports 2.2.6; run by scripts/04_ground_truth/run_phigaro.sh, which does not pull it
CRISPRCasFinder	4.2.20	docker://unlhcc/crisprcasfinder:4.2.20	docker_hub	containers/crisprcasfinder/crisprcasfinder.sif	pulled on first run by scripts/04_ground_truth/run_crisprcasfinder.sh	ground_truth (E4)	sha256:d6eab2670b87abe16ea86a310c584c1c6caf336442a488af81b6d482156abf6d	NA	tag was last pushed on 2026-09-04, after the benchmark image was pulled, so this digest may differ from the image used
InSilicoSeq	2.0.1	https://depot.galaxyproject.org/singularity/insilicoseq:2.0.1--pyh7cba7a3_0	galaxy_depot	containers/insilicoseq/insilicoseq.sif	pulled on first run by scripts/05_spike_in/simulate_reads.sh	read_simulation	NA	NA	BioContainers Singularity image
