cohort	run	R1	R2	platform	role
PRJNA1054643	SRR27287964	data/expansion_cohorts/reads/symlinks/SRR27287964_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287964_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287978	data/expansion_cohorts/reads/symlinks/SRR27287978_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287978_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287980	data/expansion_cohorts/reads/symlinks/SRR27287980_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287980_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287985	data/expansion_cohorts/reads/symlinks/SRR27287985_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287985_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287988	data/expansion_cohorts/reads/symlinks/SRR27287988_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287988_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287989	data/expansion_cohorts/reads/symlinks/SRR27287989_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287989_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287999	data/expansion_cohorts/reads/symlinks/SRR27287999_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287999_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288000	data/expansion_cohorts/reads/symlinks/SRR27288000_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288000_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288003	data/expansion_cohorts/reads/symlinks/SRR27288003_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288003_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288005	data/expansion_cohorts/reads/symlinks/SRR27288005_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288005_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288006	data/expansion_cohorts/reads/symlinks/SRR27288006_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288006_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288012	data/expansion_cohorts/reads/symlinks/SRR27288012_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288012_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288019	data/expansion_cohorts/reads/symlinks/SRR27288019_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288019_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288020	data/expansion_cohorts/reads/symlinks/SRR27288020_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288020_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288021	data/expansion_cohorts/reads/symlinks/SRR27288021_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288021_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288022	data/expansion_cohorts/reads/symlinks/SRR27288022_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288022_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288028	data/expansion_cohorts/reads/symlinks/SRR27288028_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288028_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287961	data/expansion_cohorts/reads/symlinks/SRR27287961_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287961_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287963	data/expansion_cohorts/reads/symlinks/SRR27287963_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287963_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287965	data/expansion_cohorts/reads/symlinks/SRR27287965_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287965_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287967	data/expansion_cohorts/reads/symlinks/SRR27287967_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287967_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287970	data/expansion_cohorts/reads/symlinks/SRR27287970_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287970_2.fastq.gz	DNBSEQ	track_b_primary
