fragment_id	source_genome	category	label	fragment_length	source_genome_length
novel_Faec_phage_04_frag_1_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_2_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_3_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_4_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_5_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_6_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_7_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_8_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_9_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_10_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_11_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_12_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_13_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_14_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_15_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_16_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_17_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_18_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_19_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_20_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_21_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_22_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_23_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
novel_Faec_phage_04_frag_24_L1500	novel_Faec_phage_04	novel_Faec_phage	viral	1500	56842
