accession	organism	category	source	panel	MetaPhinder	Sourmash	VirSorter	VirFinder	VirSorter2	VIBRANT	DeepVirFinder	PPR-Meta	Seeker	Jaeger	HVSeeker	TransGINmer	ViraLM	geNomad
NC_011801.1	Lactobacillus phage Lv-1	lactobacillus_phage	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
NC_007924.1	Lactobacillus phage KC5a	lactobacillus_phage	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
MW387018.1	Gardnerella phage vB_Gva_AB1	gardnerella_phage	GenBank	reference	not_in_training	db_dependent	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	likely_in_training	not_in_training	not_in_training	likely_in_training
IMGVR_UViG_3300045988_117760	Megasphaera phage MetaVR-Mega1	megasphaera_phage	MetaVR_v5	reference	not_in_training	db_dependent	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	likely_in_training	likely_in_training	not_in_training	not_in_training	not_in_training	likely_in_training
IMGVR_UViG_3300045988_083571	Megasphaera phage MetaVR-Mega2	megasphaera_phage	MetaVR_v5	reference	not_in_training	db_dependent	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	likely_in_training	likely_in_training	not_in_training	not_in_training	not_in_training	likely_in_training
IMGVR_UViG_3300007272_000043	Fannyhessea phage MetaVR-Fanny1	fannyhessea_phage	MetaVR_v5	reference	not_in_training	db_dependent	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	likely_in_training	likely_in_training	not_in_training	not_in_training	not_in_training	likely_in_training
IMGVR_UViG_2636415511_000001	Sneathia phage MetaVR-Sneath1	sneathia_phage	MetaVR_v5	reference	not_in_training	db_dependent	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	not_in_training	likely_in_training	likely_in_training	not_in_training	not_in_training	not_in_training	likely_in_training
NC_001526.4	Human papillomavirus type 16	hpv	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
NC_001357.1	Human papillomavirus type 18	hpv	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
NC_001592.1	Human papillomavirus type 52	hpv	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
NC_001443.1	Human papillomavirus type 58	hpv	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
NC_002076.2	Torque teno virus 1	anellovirus	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
NC_001806.2	Human alphaherpesvirus 1	herpesvirus	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
NC_001798.2	Human alphaherpesvirus 2	herpesvirus	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
GCF_009769205.1	Lactobacillus crispatus JCM 1185	negative_control	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
GCF_011058775.1	Lactobacillus iners LactinV09V1-d	negative_control	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
GCF_001042655.1	Gardnerella vaginalis ATCC 14019	negative_control	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
GCF_016026575.1	Fannyhessea vaginae CCUG 44116	negative_control	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
GCF_000214495.1	Megasphaera lornae DSM 2286	negative_control	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
GCF_000973085.1	Sneathia vaginalis SN35	negative_control	RefSeq	reference	possible	db_dependent	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training	not_in_training	likely_in_training	likely_in_training	likely_in_training	likely_in_training
