contig_id	label	source_genome	source_category	pident	query_coverage	length
NODE_100_length_8281_cov_119.553632	background	-	-	-	-	8281
NODE_101_length_8149_cov_2.503717	viral	IMGVR_UViG_3300007272_000043	fannyhessea_phage	100.0	99.8	8149
NODE_102_length_8068_cov_159.460143	background	-	-	-	-	8068
NODE_103_length_7964_cov_2.789527	viral	NC_011801.1	lactobacillus_phage	100.0	100.0	7964
NODE_104_length_7931_cov_40.917367	background	-	-	-	-	7931
NODE_105_length_7773_cov_2.329782	viral	NC_001798.2	herpesvirus	98.8	99.9	7773
NODE_106_length_7754_cov_3.464895	background	-	-	-	-	7754
NODE_107_length_7699_cov_140.025190	bacterial	NZ_CP039266.1	negative_control	98.8	97.6	7699
NODE_108_length_7649_cov_2.549392	viral	NC_001592.1	hpv	100.0	100.0	7649
NODE_109_length_7534_cov_110.151133	background	-	-	-	-	7534
NODE_10_length_36461_cov_139.588500	background	-	-	-	-	36461
NODE_110_length_7518_cov_180.972316	background	-	-	-	-	7518
NODE_111_length_7388_cov_139.686637	background	-	-	-	-	7388
NODE_112_length_7292_cov_2.673597	bacterial	NZ_CP049230.1	negative_control	98.5	100.0	7292
NODE_113_length_7260_cov_129.002924	background	-	-	-	-	7260
NODE_114_length_7176_cov_2.528666	viral	NC_001798.2	herpesvirus	99.5	100.0	7176
NODE_115_length_7120_cov_111.767429	bacterial	NZ_CP039266.1	negative_control	99.3	80.6	7120
NODE_116_length_7110_cov_134.085312	background	-	-	-	-	7110
NODE_117_length_7034_cov_109.353888	background	-	-	-	-	7034
NODE_118_length_7032_cov_185.010352	background	-	-	-	-	7032
NODE_119_length_7021_cov_143.477967	background	-	-	-	-	7021
NODE_11_length_36098_cov_115.735349	bacterial	NZ_CP039266.1	negative_control	98.5	80.9	36098
NODE_120_length_6853_cov_2.376771	viral	NC_001798.2	herpesvirus	99.1	100.0	6853
NODE_121_length_6844_cov_2.470519	viral	MW387018.1	gardnerella_phage	100.0	100.0	6844
NODE_122_length_6759_cov_4.874888	viral	NC_001806.2	herpesvirus	99.7	100.0	6759
NODE_123_length_6736_cov_141.303950	background	-	-	-	-	6736
NODE_124_length_6707_cov_216.386275	background	-	-	-	-	6707
NODE_125_length_6704_cov_176.636940	background	-	-	-	-	6704
NODE_126_length_6672_cov_2.686277	viral	NC_011801.1	lactobacillus_phage	100.0	100.0	6672
NODE_127_length_6634_cov_199.928778	background	-	-	-	-	6634
NODE_128_length_6572_cov_113.555350	bacterial	NZ_CP039266.1	negative_control	99.4	97.2	6572
NODE_129_length_6568_cov_2.745340	viral	NC_001806.2	herpesvirus	100.0	100.0	6568
NODE_12_length_35689_cov_129.954201	background	-	-	-	-	35689
NODE_130_length_6561_cov_184.002468	bacterial	NZ_CP039266.1	negative_control	99.0	97.5	6561
NODE_131_length_6561_cov_37.128007	background	-	-	-	-	6561
NODE_132_length_6504_cov_2.137700	background	-	-	-	-	6504
NODE_133_length_6477_cov_2.312344	viral	NC_001806.2	herpesvirus	100.0	100.0	6477
NODE_134_length_6474_cov_138.978896	background	-	-	-	-	6474
NODE_135_length_6342_cov_2.835914	background	-	-	-	-	6342
NODE_136_length_6335_cov_174.034036	bacterial	NZ_CP039266.1	negative_control	99.4	97.7	6335
NODE_137_length_6291_cov_113.529289	bacterial	NZ_CP039266.1	negative_control	99.1	96.7	6291
NODE_138_length_6210_cov_170.734388	background	-	-	-	-	6210
NODE_139_length_6132_cov_119.259950	background	-	-	-	-	6132
NODE_13_length_34746_cov_107.394098	bacterial	NZ_CP039266.1	negative_control	99.5	99.4	34746
NODE_140_length_6087_cov_2.723960	viral	IMGVR_UViG_2636415511_000001	sneathia_phage	100.0	100.0	6087
NODE_141_length_6051_cov_2.601272	background	-	-	-	-	6051
NODE_142_length_6034_cov_5.932348	background	-	-	-	-	6034
NODE_143_length_6018_cov_158.748527	bacterial	NZ_CP039266.1	negative_control	99.4	98.8	6018
NODE_144_length_5908_cov_2.233236	viral	IMGVR_UViG_3300045988_083571	megasphaera_phage	100.0	100.0	5908
NODE_145_length_5839_cov_2.483513	viral	NC_001806.2	herpesvirus	99.9	100.0	5839
NODE_146_length_5717_cov_2.397163	viral	IMGVR_UViG_2636415511_000001	sneathia_phage	100.0	100.0	5717
NODE_147_length_5712_cov_2.763088	viral	IMGVR_UViG_3300045988_083571	megasphaera_phage	100.0	100.0	5712
NODE_148_length_5661_cov_5.113718	viral	NC_001798.2	herpesvirus	100.0	100.0	5661
NODE_149_length_5644_cov_3.832765	background	-	-	-	-	5644
NODE_14_length_34543_cov_198.517263	background	-	-	-	-	34543
NODE_150_length_5603_cov_2.596453	background	-	-	-	-	5603
NODE_151_length_5593_cov_5.104061	viral	NC_001806.2	herpesvirus	100.0	100.0	5593
NODE_152_length_5570_cov_147.969234	background	-	-	-	-	5570
NODE_153_length_5566_cov_2.347422	viral	IMGVR_UViG_3300045988_117760	megasphaera_phage	100.0	100.0	5566
NODE_154_length_5548_cov_2.605191	viral	NC_011801.1	lactobacillus_phage	100.0	100.0	5548
