fragment_id	source_genome	category	label	fragment_length	source_genome_length
NC_007924.1_frag_1_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_2_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_3_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_4_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_5_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_6_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_7_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_8_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_9_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_10_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_11_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_12_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_13_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_14_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_15_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_16_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_17_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_18_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_19_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_20_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_21_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_22_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_23_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_24_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_25_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_26_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_27_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_28_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_29_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_30_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_31_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_32_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_33_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_34_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_35_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_36_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_37_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_38_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_39_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_40_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_41_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_42_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_43_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_44_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_45_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_46_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_47_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_48_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_49_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_50_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_51_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_52_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_53_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_54_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_55_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_56_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_57_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_58_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_59_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_60_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_61_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_62_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_63_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_64_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_65_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_66_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_67_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_68_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_69_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_70_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_71_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_72_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_73_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_74_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_75_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_007924.1_frag_76_L500	NC_007924.1	lactobacillus_phage	viral	500	38239
NC_011801.1_frag_1_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_2_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_3_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_4_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_5_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_6_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_7_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_8_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_9_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_10_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_11_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_12_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_13_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_14_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_15_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_16_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_17_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_18_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_19_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_20_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_21_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_22_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_23_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_24_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_25_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_26_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_27_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_28_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_29_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_30_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_31_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_32_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_33_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_34_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_35_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_36_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_37_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_38_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_39_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_40_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_41_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_42_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_43_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_44_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_45_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_46_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_47_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_48_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_49_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_50_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_51_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_52_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_53_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_54_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_55_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_56_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_57_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_58_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_59_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_60_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_61_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_62_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_63_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_64_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_65_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_66_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_67_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_68_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_69_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_70_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_71_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_72_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_73_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_74_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_75_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_76_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
NC_011801.1_frag_77_L500	NC_011801.1	lactobacillus_phage	viral	500	38934
MW387018.1_frag_1_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_2_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_3_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_4_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_5_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_6_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_7_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_8_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_9_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_10_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_11_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_12_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_13_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_14_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_15_L500	MW387018.1	gardnerella_phage	viral	500	50268
MW387018.1_frag_16_L500	MW387018.1	gardnerella_phage	viral	500	50268
