tool	metric	n_total	n_pos	point	ci_lo	ci_hi	se
DeepVirFinder	MCC	13030	1453	0.1913	0.171	0.2094	0.0099
DeepVirFinder	AUPRC	13030	1453	0.1982	0.184	0.2132	0.0073
DeepVirFinder	precision	13030	1453	0.207	0.1936	0.2198	0.0068
DeepVirFinder	recall	13030	1453	0.5279	0.5	0.5517	0.0131
DeepVirFinder	F1	13030	1453	0.2974	0.2804	0.3127	0.0085
HVSeeker	MCC	13030	1453	0.0699	0.0526	0.0861	0.0085
HVSeeker	AUPRC	13030	1453	0.1194	0.1121	0.1267	0.0037
HVSeeker	precision	13030	1453	0.131	0.1231	0.1389	0.004
HVSeeker	recall	13030	1453	0.6573	0.6318	0.6812	0.0126
HVSeeker	F1	13030	1453	0.2185	0.2068	0.2302	0.006
Jaeger	MCC	13030	1453	0.2918	0.2649	0.3156	0.0127
Jaeger	AUPRC	13030	1453	0.42	0.3912	0.445	0.0132
Jaeger	precision	13030	1453	0.3832	0.3558	0.4083	0.0136
Jaeger	recall	13030	1453	0.3524	0.3256	0.3757	0.0125
Jaeger	F1	13030	1453	0.3672	0.3417	0.3898	0.0119
MetaPhinder	MCC	13030	1453	0.1355	0.1146	0.1551	0.0103
MetaPhinder	AUPRC	13030	1453	0.1409	0.1317	0.1505	0.0047
MetaPhinder	precision	13030	1453	0.2083	0.1919	0.2258	0.0088
MetaPhinder	recall	13030	1453	0.3035	0.2786	0.3257	0.0117
MetaPhinder	F1	13030	1453	0.2471	0.2276	0.2655	0.0094
PPR-Meta	MCC	13030	1453	0.2447	0.2208	0.2691	0.0123
PPR-Meta	AUPRC	13030	1453	0.3214	0.2975	0.347	0.0129
PPR-Meta	precision	13030	1453	0.3383	0.3136	0.3638	0.013
PPR-Meta	recall	13030	1453	0.3138	0.2897	0.3371	0.012
PPR-Meta	F1	13030	1453	0.3256	0.3024	0.3474	0.0114
Seeker	MCC	13030	1453	0.0207	0.003	0.0373	0.0088
Seeker	AUPRC	13030	1453	0.0988	0.0935	0.1045	0.0028
Seeker	precision	13030	1453	0.1162	0.1091	0.1232	0.0035
Seeker	recall	13030	1453	0.6903	0.6655	0.7139	0.0125
Seeker	F1	13030	1453	0.1989	0.1878	0.2095	0.0054
Sourmash	MCC	13030	1453	0.0	0.0	0.0	0.0
Sourmash	AUPRC	13030	1453	0.1127	0.1074	0.1185	0.0028
Sourmash	precision	13030	1453	0.0	0.0	0.0	0.0
Sourmash	recall	13030	1453	0.0	0.0	0.0	0.0
Sourmash	F1	13030	1453	0.0	0.0	0.0	0.0
TransGINmer	MCC	13030	1453	-0.0619	-0.079	-0.0453	0.0085
TransGINmer	AUPRC	13030	1453	0.0886	0.0838	0.0939	0.0025
TransGINmer	precision	13030	1453	0.0907	0.0836	0.0982	0.0037
TransGINmer	recall	13030	1453	0.3806	0.3559	0.4053	0.0125
TransGINmer	F1	13030	1453	0.1465	0.1356	0.1574	0.0055
VIBRANT	MCC	13030	1453	0.439	0.4167	0.4608	0.0114
VIBRANT	AUPRC	13030	1453	0.3	0.2804	0.319	0.01
VIBRANT	precision	13030	1453	0.9754	0.9554	0.9911	0.0087
VIBRANT	recall	13030	1453	0.2182	0.1971	0.238	0.0106
VIBRANT	F1	13030	1453	0.3566	0.3279	0.3836	0.0142
VirFinder	MCC	13030	1453	0.0771	0.0571	0.0964	0.0102
VirFinder	AUPRC	13030	1453	0.1321	0.123	0.1422	0.005
VirFinder	precision	13030	1453	0.1768	0.1589	0.1953	0.0095
VirFinder	recall	13030	1453	0.1927	0.1731	0.2129	0.0101
VirFinder	F1	13030	1453	0.1844	0.1661	0.2021	0.0093
VirSorter	MCC	13030	1453	0.2467	0.2185	0.2738	0.0145
VirSorter	AUPRC	13030	1453	0.1877	0.1711	0.2041	0.0084
VirSorter	precision	13030	1453	0.6434	0.5866	0.6992	0.0288
VirSorter	recall	13030	1453	0.1204	0.1043	0.1366	0.0084
VirSorter	F1	13030	1453	0.2029	0.1786	0.2267	0.0128
VirSorter2	MCC	13030	1453	0.3816	0.3533	0.4071	0.0137
VirSorter2	AUPRC	13030	1453	0.2874	0.2636	0.3114	0.0123
VirSorter2	precision	13030	1453	0.5595	0.5231	0.5931	0.0175
VirSorter2	recall	13030	1453	0.3365	0.3113	0.3586	0.0123
VirSorter2	F1	13030	1453	0.4203	0.3945	0.4433	0.013
ViraLM	MCC	13030	1453	0.2244	0.2028	0.2458	0.0111
ViraLM	AUPRC	13030	1453	0.2822	0.2602	0.3046	0.0114
ViraLM	precision	13030	1453	0.2806	0.2612	0.2995	0.0102
ViraLM	recall	13030	1453	0.3737	0.3492	0.3968	0.0121
ViraLM	F1	13030	1453	0.3205	0.3009	0.3402	0.0102
geNomad	MCC	13030	1453	0.44	0.4137	0.4643	0.0131
geNomad	AUPRC	13030	1453	0.3858	0.3635	0.4054	0.011
geNomad	precision	13030	1453	0.7031	0.6672	0.738	0.0179
geNomad	recall	13030	1453	0.3276	0.3037	0.349	0.0119
geNomad	F1	13030	1453	0.4469	0.4219	0.4706	0.013
