tool	metric	n_total	n_pos	point	ci_lo	ci_hi	se
DeepVirFinder	MCC	960	29	0.1351	0.0677	0.1952	0.0334
DeepVirFinder	AUPRC	960	29	0.0689	0.0422	0.1305	0.023
DeepVirFinder	precision	960	29	0.0612	0.0369	0.0872	0.013
DeepVirFinder	recall	960	29	0.7241	0.5455	0.8788	0.0867
DeepVirFinder	F1	960	29	0.1129	0.0697	0.157	0.0226
HVSeeker	MCC	960	29	0.1006	0.0467	0.1471	0.026
HVSeeker	AUPRC	960	29	0.082	0.046	0.16	0.0296
HVSeeker	precision	960	29	0.046	0.029	0.0643	0.0089
HVSeeker	recall	960	29	0.8276	0.6774	0.96	0.0713
HVSeeker	F1	960	29	0.0871	0.0561	0.1196	0.0161
Jaeger	MCC	960	29	0.2656	0.1766	0.3461	0.0444
Jaeger	AUPRC	960	29	0.1349	0.0873	0.2288	0.037
Jaeger	precision	960	29	0.1272	0.0778	0.1788	0.0259
Jaeger	recall	960	29	0.7586	0.5861	0.9167	0.0841
Jaeger	F1	960	29	0.2178	0.139	0.2935	0.0399
MetaPhinder	MCC	960	29	-0.0485	-0.0854	0.0023	0.0224
MetaPhinder	AUPRC	960	29	0.029	0.0191	0.0396	0.0052
MetaPhinder	precision	960	29	0.012	0.0	0.0312	0.0087
MetaPhinder	recall	960	29	0.069	0.0	0.1787	0.0478
MetaPhinder	F1	960	29	0.0205	0.0	0.0526	0.0145
PPR-Meta	MCC	960	29	0.3844	0.2792	0.4785	0.0506
PPR-Meta	AUPRC	960	29	0.3711	0.2154	0.5671	0.0891
PPR-Meta	precision	960	29	0.217	0.1414	0.2973	0.0394
PPR-Meta	recall	960	29	0.7931	0.6286	0.9394	0.0773
PPR-Meta	F1	960	29	0.3407	0.233	0.4427	0.0519
Seeker	MCC	960	29	0.0204	-0.0408	0.0765	0.0301
Seeker	AUPRC	960	29	0.0441	0.0262	0.0805	0.0139
Seeker	precision	960	29	0.0327	0.0196	0.0466	0.0068
Seeker	recall	960	29	0.7241	0.5587	0.8788	0.0832
Seeker	F1	960	29	0.0625	0.0381	0.0884	0.0126
Sourmash	MCC	960	29	0.0	0.0	0.0	0.0
Sourmash	AUPRC	960	29	None	NA	NA	NA
Sourmash	precision	960	29	0.0	0.0	0.0	0.0
Sourmash	recall	960	29	0.0	0.0	0.0	0.0
Sourmash	F1	960	29	0.0	0.0	0.0	0.0
TransGINmer	MCC	960	29	0.1905	0.1205	0.2475	0.0331
TransGINmer	AUPRC	960	29	0.4162	0.2301	0.6305	0.101
TransGINmer	precision	960	29	0.0801	0.0487	0.1107	0.0156
TransGINmer	recall	960	29	0.7931	0.6296	0.9287	0.0774
TransGINmer	F1	960	29	0.1456	0.0915	0.1953	0.0263
VIBRANT	MCC	960	29	0.2097	-0.0097	0.3875	0.0952
VIBRANT	AUPRC	960	29	0.0762	0.0271	0.1831	0.0417
VIBRANT	precision	960	29	0.3636	0.0	0.6667	0.1572
VIBRANT	recall	960	29	0.1379	0.0	0.2692	0.0661
VIBRANT	F1	960	29	0.2	0.0	0.359	0.0868
VirFinder	MCC	960	29	0.1287	0.0389	0.2241	0.048
VirFinder	AUPRC	960	29	0.1065	0.0429	0.2171	0.0474
VirFinder	precision	960	29	0.0866	0.041	0.1397	0.0252
VirFinder	recall	960	29	0.3793	0.2	0.5715	0.0945
VirFinder	F1	960	29	0.141	0.069	0.2183	0.0385
VirSorter	MCC	960	29	-0.0114	-0.017	-0.0052	0.0032
VirSorter	AUPRC	960	29	0.0302	0.0198	0.0406	0.0054
VirSorter	precision	960	29	0.0	0.0	0.0	0.0
VirSorter	recall	960	29	0.0	0.0	0.0	0.0
VirSorter	F1	960	29	0.0	0.0	0.0	0.0
VirSorter2	MCC	960	29	0.5995	0.478	0.7064	0.0589
VirSorter2	AUPRC	960	29	0.5038	0.3368	0.7097	0.0945
VirSorter2	precision	960	29	0.4386	0.3158	0.5693	0.0655
VirSorter2	recall	960	29	0.8621	0.7272	0.9706	0.065
VirSorter2	F1	960	29	0.5814	0.4493	0.6988	0.064
ViraLM	MCC	960	29	0.4053	0.3003	0.4998	0.0506
ViraLM	AUPRC	960	29	0.537	0.3601	0.7291	0.0942
ViraLM	precision	960	29	0.2371	0.1613	0.3182	0.0415
ViraLM	recall	960	29	0.7931	0.6429	0.9375	0.0758
ViraLM	F1	960	29	0.3651	0.2616	0.464	0.0528
geNomad	MCC	960	29	0.4192	0.2873	0.5401	0.0677
geNomad	AUPRC	960	29	0.5918	0.4144	0.7652	0.0901
geNomad	precision	960	29	0.3158	0.1999	0.4333	0.0606
geNomad	recall	960	29	0.6207	0.4412	0.8	0.0918
geNomad	F1	960	29	0.4186	0.2856	0.5349	0.0668
