background	stratum	tool	MCC	precision	recall	n_viral	n_negative	n_excluded_native	TP	FP	TN	FN
SRR27287961	CST-I	DeepVirFinder	0.22051084942616414	0.5974025974025974	0.3865546218487395	119	165	0	46	31	134	73
SRR27287961	CST-I	VirSorter	0.19637687193919665	0.7619047619047619	0.13445378151260504	119	165	0	16	5	160	103
SRR27287961	CST-I	VirSorter2	0.5683766292686546	0.8554216867469879	0.5966386554621849	119	165	0	71	12	153	48
SRR27287961	CST-I	VirFinder	0.297754190567944	0.8387096774193549	0.2184873949579832	119	165	0	26	5	160	93
SRR27287961	CST-I	PPR-Meta	0.32970496043015746	0.7333333333333333	0.3697478991596639	119	165	0	44	16	149	75
SRR27287961	CST-I	VIBRANT	0.31993621886692564	0.8333333333333334	0.25210084033613445	119	165	0	30	6	159	89
SRR27287961	CST-I	Seeker	-0.4034738263786651	0.29	0.48739495798319327	119	165	0	58	142	23	61
SRR27287961	CST-I	MetaPhinder	0.0992173245513923	0.5	0.31932773109243695	119	165	0	38	38	127	81
SRR27287961	CST-I	Sourmash	0.0	0.0	0.0	119	165	0	0	0	165	119
SRR27287961	CST-I	geNomad	0.7463756725152245	0.8962264150943396	0.7983193277310925	119	165	0	95	11	154	24
SRR27287961	CST-I	HVSeeker	-0.25194268677915177	0.33157894736842103	0.5294117647058824	119	165	0	63	127	38	56
SRR27287961	CST-I	Jaeger	0.36466993756315397	0.7666666666666667	0.3865546218487395	119	165	0	46	14	151	73
SRR27287961	CST-I	TransGINmer	0.6224294503401681	0.7913043478260869	0.7647058823529411	119	165	0	91	24	141	28
SRR27287961	CST-I	ViraLM	0.8592330300861025	0.8837209302325582	0.957983193277311	119	165	0	114	15	150	5
SRR27287984	CST-I	DeepVirFinder	0.20224302713916167	0.5789473684210527	0.37606837606837606	117	165	0	44	32	133	73
SRR27287984	CST-I	VirSorter	0.20434207295683762	0.7894736842105263	0.1282051282051282	117	165	0	15	4	161	102
SRR27287984	CST-I	VirSorter2	0.6036470700105812	0.8875	0.6068376068376068	117	165	0	71	9	156	46
SRR27287984	CST-I	VirFinder	0.31636969949167604	0.8666666666666667	0.2222222222222222	117	165	0	26	4	161	91
SRR27287984	CST-I	PPR-Meta	0.33499425559662194	0.7258064516129032	0.38461538461538464	117	165	0	45	17	148	72
SRR27287984	CST-I	VIBRANT	0.297979932848189	0.8181818181818182	0.23076923076923078	117	165	0	27	6	159	90
SRR27287984	CST-I	Seeker	-0.41950709439776057	0.2814070351758794	0.47863247863247865	117	165	0	56	143	22	61
SRR27287984	CST-I	MetaPhinder	0.11591700447871298	0.5142857142857142	0.3076923076923077	117	165	0	36	34	131	81
SRR27287984	CST-I	Sourmash	0.0	0.0	0.0	117	165	0	0	0	165	117
SRR27287984	CST-I	geNomad	0.7591398087535824	0.9117647058823529	0.7948717948717948	117	165	0	93	9	156	24
SRR27287984	CST-I	HVSeeker	-0.3101581569117247	0.3128205128205128	0.5213675213675214	117	165	0	61	134	31	56
SRR27287984	CST-I	Jaeger	0.38473645445652555	0.8	0.37606837606837606	117	165	0	44	11	154	73
SRR27287984	CST-I	TransGINmer	0.6992244921936859	0.8725490196078431	0.7606837606837606	117	165	0	89	13	152	28
SRR27287984	CST-I	ViraLM	0.8501153494152967	0.8809523809523809	0.9487179487179487	117	165	0	111	15	150	6
SRR35936354	CST-I	DeepVirFinder	0.21229278092367665	0.41228070175438597	0.39166666666666666	120	366	0	47	67	299	73
SRR35936354	CST-I	VirSorter	0.26571748801631007	0.8	0.13333333333333333	120	366	0	16	4	362	104
