omitted_background	tool	n_CST_I	n_CST_IVB	delta_IVB_minus_I	delta_CIl	delta_CIh	delta_excludes_0
none	DeepVirFinder	4	4	-0.10162903058671346	-0.1744241516997236	-0.0368599733668821	True
none	VirSorter	4	4	0.006793598748639773	-0.0903569804511847	0.07704231705347517	False
none	VirSorter2	4	4	-0.12764742149478903	-0.28232358487272646	0.018681701059204102	False
none	VirFinder	4	4	-0.11864656959094272	-0.21474676534073525	-0.03416408783141184	True
none	PPR-Meta	4	4	-0.11294974815949815	-0.22520790369178512	-0.0006915926272112446	True
none	VIBRANT	4	4	-0.07829055813284663	-0.17920571694921394	0.022624600683520846	False
none	Seeker	4	4	0.18646739101804014	0.03474801755152568	0.3328088100459073	True
none	MetaPhinder	4	4	-0.049471427264848516	-0.12260122597053329	0.020486617411003646	False
none	Sourmash	4	4	0.0	0.0	0.0	False
none	geNomad	4	4	-0.15243223174113085	-0.30856694019344777	0.0037024767111860646	False
none	HVSeeker	4	4	0.18406418913504408	0.1047733905079112	0.25757289028379876	True
none	Jaeger	4	4	-0.14091983848507494	-0.2844499547288122	0.0036535028860743	False
none	TransGINmer	4	4	-0.4308585781349574	-0.6729503003190416	-0.1424427371281709	True
none	ViraLM	4	4	-0.2517863310166004	-0.4491303518478759	-0.046442594421046035	True
SRR27287961	DeepVirFinder	3	4	-0.0964509975784674	-0.17359178944709258	-0.02736853081977167	True
SRR27287961	VirSorter	3	4	-0.0035340106023847573	-0.10267589005661942	0.06754346609540118	False
SRR27287961	VirSorter2	3	4	-0.1392609008485559	-0.2891875330823947	0.0009978174357360148	False
SRR27287961	VirFinder	3	4	-0.11811419372037579	-0.21604107474098422	-0.034156587077738276	True
SRR27287961	PPR-Meta	3	4	-0.12032845271069453	-0.2268226403686825	-0.012658387964917668	True
SRR27287961	VIBRANT	3	4	-0.08391332759928338	-0.19919849510928472	0.017612280556473195	False
SRR27287961	Seeker	3	4	0.1822272296079769	0.03265063817744357	0.32434168116333945	True
SRR27287961	MetaPhinder	3	4	-0.06234750618001497	-0.1434961043740138	0.012935432857646149	False
SRR27287961	Sourmash	3	4	0.0	0.0	0.0	False
SRR27287961	geNomad	3	4	-0.16321036935839472	-0.33538210114739087	-0.004412280323931261	True
SRR27287961	HVSeeker	3	4	0.1804274292106398	0.09833071776020626	0.25970263710779506	True
SRR27287961	Jaeger	3	4	-0.15419004773192446	-0.29628689477664544	-0.010786795376059477	True
SRR27287961	TransGINmer	3	4	-0.4078574538486637	-0.6985288365442637	-0.0896163305448233	True
SRR27287961	ViraLM	3	4	-0.24263614061074001	-0.4548558643008506	-0.017449238979882264	True
SRR27287984	DeepVirFinder	3	4	-0.1025402716741349	-0.17694170737526427	-0.03354215155856474	True
