tool	precision	recall	F1	MCC	AUPRC
DeepVirFinder	0.144	0.3919	0.2106	0.1517	0.1666
VirSorter	1.0	0.0499	0.095	0.2165	0.1097
VirSorter2	0.335	0.3183	0.3264	0.2825	0.1904
VirFinder	0.1329	0.19	0.1564	0.0906	0.0997
PPR-Meta	0.1361	0.4228	0.2059	0.1485	0.2214
VIBRANT	0.6216	0.0546	0.1004	0.1716	0.0935
Seeker	0.0579	0.5107	0.104	-0.0232	0.0676
MetaPhinder	0.08	0.4109	0.134	0.0486	0.07
Sourmash	0.0	0.0	0.0	0.0	0.0674
geNomad	0.8966	0.4941	0.6371	0.6507	0.4843
HVSeeker	0.066	0.5439	0.1178	0.0132	0.0737
Jaeger	0	0	0	0	NA
TransGINmer	0.1764	0.7387	0.2848	0.2795	0.3874
ViraLM	0.3546	0.9359	0.5144	0.536	0.8109
