tool	track_c_mcc	track_c_auprc	multi_evidence_mcc	multi_evidence_auprc
VirSorter2	0.5995	0.5038	0.3816	0.2874
geNomad	0.4192	0.5918	0.44	0.3858
ViraLM	0.4053	0.537	0.2244	0.2822
PPR-Meta	0.3844	0.3711	0.2447	0.3214
Jaeger	0.2656	0.1349	0.2918	0.42
VIBRANT	0.2097	0.0762	0.439	0.3
TransGINmer	0.1905	0.4162	-0.0619	0.0886
DeepVirFinder	0.1351	0.0689	0.1913	0.1983
VirFinder	0.1287	0.1065	0.0771	0.1321
HVSeeker	0.1006	0.082	0.0699	0.1194
Seeker	0.0204	0.0441	0.0207	0.0988
Sourmash	0.0	NA	0.0	0.1127
VirSorter	-0.0114	0.0302	0.2467	0.1877
MetaPhinder	-0.0485	0.029	0.1355	0.1409
