background	coverage	tool	recall	precision	MCC	F1	n_viral
UC115_V2	5	DeepVirFinder	0.5455	0.1455	0.1981	0.2297	44
UC115_V2	5	VirSorter	0.1136	0.3571	0.1757	0.1724	44
UC115_V2	5	VirSorter2	0.4545	0.4762	0.4334	0.4651	44
UC115_V2	5	VirFinder	0.2727	0.2222	0.195	0.2449	44
UC115_V2	5	PPR-Meta	0.5	0.2588	0.3057	0.3411	44
UC115_V2	5	VIBRANT	0.1818	0.4706	0.2675	0.2623	44
UC115_V2	5	Seeker	0.5	0.0345	-0.2217	0.0645	44
UC115_V2	5	MetaPhinder	0.4545	0.1333	0.1608	0.2062	44
UC115_V2	5	Sourmash	0.0	0.0	0.0	0.0	44
UC115_V2	5	geNomad	0.5227	0.5349	0.5004	0.5287	44
UC115_V2	5	HVSeeker	0.6818	0.0532	-0.0311	0.0987	44
UC115_V2	5	Jaeger	0.1591	0.2188	0.1447	0.1842	44
UC115_V2	5	TransGINmer	0.7955	0.0879	0.1361	0.1584	44
UC115_V2	5	ViraLM	0.9318	0.2993	0.485	0.453	44
UC115_V2	10	DeepVirFinder	0.4017	0.2487	0.1696	0.3072	117
UC115_V2	10	VirSorter	0.1453	0.6538	0.2654	0.2378	117
UC115_V2	10	VirSorter2	0.6154	0.7579	0.6378	0.6792	117
UC115_V2	10	VirFinder	0.2308	0.3971	0.2206	0.2919	117
UC115_V2	10	PPR-Meta	0.3761	0.4037	0.2945	0.3894	117
UC115_V2	10	VIBRANT	0.2564	0.7692	0.4013	0.3846	117
UC115_V2	10	Seeker	0.4786	0.0832	-0.3305	0.1418	117
UC115_V2	10	MetaPhinder	0.3077	0.2169	0.1106	0.2544	117
UC115_V2	10	Sourmash	0.0	0.0	0.0	0.0	117
UC115_V2	10	geNomad	0.7949	0.823	0.7784	0.8087	117
UC115_V2	10	HVSeeker	0.5128	0.101	-0.1748	0.1688	117
UC115_V2	10	Jaeger	0.3932	0.6479	0.4461	0.4894	117
UC115_V2	10	TransGINmer	0.7863	0.2026	0.1974	0.3222	117
UC115_V2	10	ViraLM	0.9573	0.5359	0.659	0.6871	117
UC115_V2	50	DeepVirFinder	0.4516	0.0903	0.1256	0.1505	31
UC115_V2	50	VirSorter	0.2258	0.4375	0.2938	0.2979	31
UC115_V2	50	VirSorter2	0.8065	0.5319	0.6372	0.641	31
UC115_V2	50	VirFinder	0.1935	0.1277	0.1121	0.1538	31
UC115_V2	50	PPR-Meta	0.3871	0.1579	0.1966	0.2243	31
UC115_V2	50	VIBRANT	0.2258	0.4118	0.2834	0.2917	31
UC115_V2	50	Seeker	0.4516	0.0222	-0.22	0.0424	31
UC115_V2	50	MetaPhinder	0.2258	0.0511	0.0232	0.0833	31
UC115_V2	50	Sourmash	0.0645	1.0	0.249	0.1212	31
UC115_V2	50	geNomad	0.871	0.6	0.7091	0.7105	31
UC115_V2	50	HVSeeker	0.4839	0.0273	-0.1163	0.0517	31
UC115_V2	50	Jaeger	0.4194	0.3421	0.3491	0.3768	31
UC115_V2	50	TransGINmer	0.9355	0.0744	0.1727	0.1378	31
UC115_V2	50	ViraLM	1.0	0.246	0.4621	0.3949	31
UC093_V3	5	DeepVirFinder	0.4857	0.0101	0.0273	0.0198	35
UC093_V3	5	VirSorter	0.1143	0.0482	0.0643	0.0678	35
UC093_V3	5	VirSorter2	0.4	0.0378	0.1048	0.0691	35
