tool	MCC_primary	rank_primary	MCC_no_E1b	rank_no_E1b	delta_MCC_no_E1b	delta_rank_no_E1b	MCC_merged_E1E2	rank_merged_E1E2	delta_MCC_merged_E1E2	delta_rank_merged_E1E2	MCC_no_E5	rank_no_E5	delta_MCC_no_E5	delta_rank_no_E5
geNomad	0.44	1	0.402	2	-0.0380	1	0.1954	2	-0.2446	1	0.5713	2	0.1313	1
VIBRANT	0.439	2	0.4483	1	0.0093	-1	0.3086	1	-0.1304	-1	0.5739	1	0.1349	-1
VirSorter2	0.3816	3	0.318	3	-0.0636	0	0.1481	4	-0.2335	1	0.5051	3	0.1235	0
Jaeger	0.2918	4	0.2498	4	-0.0420	0	0.1258	5	-0.1660	1	0.3604	4	0.0686	0
VirSorter	0.2467	5	0.2216	6	-0.0251	1	0.1534	3	-0.0933	-2	0.3301	6	0.0834	1
PPR-Meta	0.2447	6	0.2306	5	-0.0141	-1	0.0714	7	-0.1733	1	0.3314	5	0.0867	-1
ViraLM	0.2244	7	0.2024	7	-0.0220	0	0.0287	9	-0.1957	2	0.3234	7	0.0990	0
DeepVirFinder	0.1913	8	0.1647	8	-0.0266	0	0.0871	6	-0.1042	-2	0.2309	8	0.0396	0
MetaPhinder	0.1355	9	0.1364	9	0.0009	0	0.0439	8	-0.0916	-1	0.175	9	0.0395	0
VirFinder	0.0771	10	0.0475	11	-0.0296	1	0.0031	11	-0.0740	1	0.1235	10	0.0464	0
HVSeeker	0.0699	11	0.0652	10	-0.0047	-1	0.0209	10	-0.0490	-1	0.0977	11	0.0278	0
Seeker	0.0207	12	0.0033	12	-0.0174	0	-0.0093	13	-0.0300	1	0.0407	12	0.0200	0
Sourmash	0.0	13	0.0	13	0.0000	0	0.0	12	0.0000	-1	0.0	13	0.0000	0
TransGINmer	-0.0619	14	-0.0663	14	-0.0044	0	-0.0959	14	-0.0340	0	-0.0077	14	0.0542	0
