tool	category	n_fragments	TP	FP	TN	FN	precision	recall	specificity	FPR	F1	MCC	AUPRC
DeepVirFinder	anellovirus	2	2	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
DeepVirFinder	fannyhessea_phage	27	20	0	0	7	1.0	0.7407	NA	NA	0.8511	0.0	1.0
DeepVirFinder	gardnerella_phage	33	13	0	0	20	1.0	0.3939	NA	NA	0.5652	0.0	1.0
DeepVirFinder	herpesvirus	204	17	0	0	187	1.0	0.0833	NA	NA	0.1538	0.0	1.0
DeepVirFinder	hpv	20	11	0	0	9	1.0	0.55	NA	NA	0.7097	0.0	1.0
DeepVirFinder	lactobacillus_phage	50	41	0	0	9	1.0	0.82	NA	NA	0.9011	0.0	1.0
DeepVirFinder	megasphaera_phage	59	37	0	0	22	1.0	0.6271	NA	NA	0.7708	0.0	1.0
DeepVirFinder	negative_control	6268	0	981	5287	0	0.0	0.0	0.8435	0.1565	0.0	0.0	0.0
DeepVirFinder	sneathia_phage	26	24	0	0	2	1.0	0.9231	NA	NA	0.96	0.0	1.0
VirSorter	anellovirus	2	0	0	0	2	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	fannyhessea_phage	27	0	0	0	27	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	gardnerella_phage	33	3	0	0	30	1.0	0.0909	NA	NA	0.1667	0.0	1.0
VirSorter	herpesvirus	204	0	0	0	204	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	hpv	20	0	0	0	20	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	lactobacillus_phage	50	17	0	0	33	1.0	0.34	NA	NA	0.5075	0.0	1.0
VirSorter	megasphaera_phage	59	0	0	0	59	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	negative_control	6268	0	0	6268	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	sneathia_phage	26	1	0	0	25	1.0	0.0385	NA	NA	0.0741	0.0	1.0
VirSorter2	anellovirus	2	1	0	0	1	1.0	0.5	NA	NA	0.6667	0.0	1.0
VirSorter2	fannyhessea_phage	27	11	0	0	16	1.0	0.4074	NA	NA	0.5789	0.0	1.0
VirSorter2	gardnerella_phage	33	17	0	0	16	1.0	0.5152	NA	NA	0.68	0.0	1.0
VirSorter2	herpesvirus	204	27	0	0	177	1.0	0.1324	NA	NA	0.2338	0.0	1.0
VirSorter2	hpv	20	5	0	0	15	1.0	0.25	NA	NA	0.4	0.0	1.0
VirSorter2	lactobacillus_phage	50	31	0	0	19	1.0	0.62	NA	NA	0.7654	0.0	1.0
VirSorter2	megasphaera_phage	59	28	0	0	31	1.0	0.4746	NA	NA	0.6437	0.0	1.0
VirSorter2	negative_control	6268	0	266	6002	0	0.0	0.0	0.9576	0.0424	0.0	0.0	0.0
VirSorter2	sneathia_phage	26	14	0	0	12	1.0	0.5385	NA	NA	0.7	0.0	1.0
VirFinder	anellovirus	2	1	0	0	1	1.0	0.5	NA	NA	0.6667	0.0	1.0
VirFinder	fannyhessea_phage	27	6	0	0	21	1.0	0.2222	NA	NA	0.3636	0.0	1.0
VirFinder	gardnerella_phage	33	3	0	0	30	1.0	0.0909	NA	NA	0.1667	0.0	1.0
VirFinder	herpesvirus	204	1	0	0	203	1.0	0.0049	NA	NA	0.0098	0.0	1.0
VirFinder	hpv	20	6	0	0	14	1.0	0.3	NA	NA	0.4615	0.0	1.0
VirFinder	lactobacillus_phage	50	23	0	0	27	1.0	0.46	NA	NA	0.6301	0.0	1.0
VirFinder	megasphaera_phage	59	25	0	0	34	1.0	0.4237	NA	NA	0.5952	0.0	1.0
VirFinder	negative_control	6268	0	522	5746	0	0.0	0.0	0.9167	0.0833	0.0	0.0	0.0
VirFinder	sneathia_phage	26	15	0	0	11	1.0	0.5769	NA	NA	0.7317	0.0	1.0
PPR-Meta	anellovirus	2	2	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
PPR-Meta	fannyhessea_phage	27	23	0	0	4	1.0	0.8519	NA	NA	0.92	0.0	1.0
PPR-Meta	gardnerella_phage	33	25	0	0	8	1.0	0.7576	NA	NA	0.8621	0.0	1.0
PPR-Meta	herpesvirus	204	2	0	0	202	1.0	0.0098	NA	NA	0.0194	0.0	1.0
PPR-Meta	hpv	20	19	0	0	1	1.0	0.95	NA	NA	0.9744	0.0	1.0
PPR-Meta	lactobacillus_phage	50	45	0	0	5	1.0	0.9	NA	NA	0.9474	0.0	1.0
PPR-Meta	megasphaera_phage	59	36	0	0	23	1.0	0.6102	NA	NA	0.7579	0.0	1.0
PPR-Meta	negative_control	6268	0	1130	5138	0	0.0	0.0	0.8197	0.1803	0.0	0.0	0.0
PPR-Meta	sneathia_phage	26	26	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
VIBRANT	anellovirus	2	0	0	0	2	0.0	0.0	NA	NA	0.0	0.0	NA
VIBRANT	fannyhessea_phage	27	1	0	0	26	1.0	0.037	NA	NA	0.0714	0.0	1.0
VIBRANT	gardnerella_phage	33	2	0	0	31	1.0	0.0606	NA	NA	0.1143	0.0	1.0
VIBRANT	herpesvirus	204	0	0	0	204	0.0	0.0	NA	NA	0.0	0.0	NA
VIBRANT	hpv	20	0	0	0	20	0.0	0.0	NA	NA	0.0	0.0	NA
VIBRANT	lactobacillus_phage	50	14	0	0	36	1.0	0.28	NA	NA	0.4375	0.0	1.0
VIBRANT	megasphaera_phage	59	5	0	0	54	1.0	0.0847	NA	NA	0.1562	0.0	1.0
VIBRANT	negative_control	6268	0	14	6254	0	0.0	0.0	0.9978	0.0022	0.0	0.0	0.0
VIBRANT	sneathia_phage	26	1	0	0	25	1.0	0.0385	NA	NA	0.0741	0.0	1.0
Seeker	anellovirus	2	2	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
Seeker	fannyhessea_phage	27	11	0	0	16	1.0	0.4074	NA	NA	0.5789	0.0	1.0
Seeker	gardnerella_phage	33	25	0	0	8	1.0	0.7576	NA	NA	0.8621	0.0	1.0
Seeker	herpesvirus	204	54	0	0	150	1.0	0.2647	NA	NA	0.4186	0.0	1.0
Seeker	hpv	20	20	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
Seeker	lactobacillus_phage	50	47	0	0	3	1.0	0.94	NA	NA	0.9691	0.0	1.0
Seeker	megasphaera_phage	59	32	0	0	27	1.0	0.5424	NA	NA	0.7033	0.0	1.0
Seeker	negative_control	6268	0	3498	2770	0	0.0	0.0	0.4419	0.5581	0.0	0.0	0.0
Seeker	sneathia_phage	26	24	0	0	2	1.0	0.9231	NA	NA	0.96	0.0	1.0
MetaPhinder	anellovirus	2	0	0	0	2	0.0	0.0	NA	NA	0.0	0.0	NA
MetaPhinder	fannyhessea_phage	27	6	0	0	21	1.0	0.2222	NA	NA	0.3636	0.0	1.0
MetaPhinder	gardnerella_phage	33	17	0	0	16	1.0	0.5152	NA	NA	0.68	0.0	1.0
MetaPhinder	herpesvirus	204	50	0	0	154	1.0	0.2451	NA	NA	0.3937	0.0	1.0
MetaPhinder	hpv	20	2	0	0	18	1.0	0.1	NA	NA	0.1818	0.0	1.0
MetaPhinder	lactobacillus_phage	50	50	0	0	0	1.0	1.0	NA	NA	1.0	0.0	NA
MetaPhinder	megasphaera_phage	59	25	0	0	34	1.0	0.4237	NA	NA	0.5952	0.0	1.0
MetaPhinder	negative_control	6268	0	1989	4279	0	0.0	0.0	0.6827	0.3173	0.0	0.0	0.0
MetaPhinder	sneathia_phage	26	23	0	0	3	1.0	0.8846	NA	NA	0.9388	0.0	1.0
Sourmash	anellovirus	2	0	0	0	2	0.0	0.0	NA	NA	0.0	0.0	NA
Sourmash	fannyhessea_phage	27	0	0	0	27	0.0	0.0	NA	NA	0.0	0.0	NA
Sourmash	gardnerella_phage	33	0	0	0	33	0.0	0.0	NA	NA	0.0	0.0	NA
Sourmash	herpesvirus	204	0	0	0	204	0.0	0.0	NA	NA	0.0	0.0	NA
Sourmash	hpv	20	0	0	0	20	0.0	0.0	NA	NA	0.0	0.0	NA
Sourmash	lactobacillus_phage	50	0	0	0	50	0.0	0.0	NA	NA	0.0	0.0	1.0
Sourmash	megasphaera_phage	59	0	0	0	59	0.0	0.0	NA	NA	0.0	0.0	NA
Sourmash	negative_control	6268	0	0	6268	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
Sourmash	sneathia_phage	26	0	0	0	26	0.0	0.0	NA	NA	0.0	0.0	NA
geNomad	anellovirus	2	2	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
geNomad	fannyhessea_phage	27	8	0	0	19	1.0	0.2963	NA	NA	0.4571	0.0	1.0
geNomad	gardnerella_phage	33	10	0	0	23	1.0	0.303	NA	NA	0.4651	0.0	1.0
geNomad	herpesvirus	204	122	0	0	82	1.0	0.598	NA	NA	0.7485	0.0	1.0
geNomad	hpv	20	19	0	0	1	1.0	0.95	NA	NA	0.9744	0.0	1.0
geNomad	lactobacillus_phage	50	21	0	0	29	1.0	0.42	NA	NA	0.5915	0.0	1.0
geNomad	megasphaera_phage	59	19	0	0	40	1.0	0.322	NA	NA	0.4872	0.0	1.0
geNomad	negative_control	6268	0	24	6244	0	0.0	0.0	0.9962	0.0038	0.0	0.0	0.0
geNomad	sneathia_phage	26	7	0	0	19	1.0	0.2692	NA	NA	0.4242	0.0	1.0
HVSeeker	anellovirus	2	2	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
HVSeeker	fannyhessea_phage	27	20	0	0	7	1.0	0.7407	NA	NA	0.8511	0.0	1.0
HVSeeker	gardnerella_phage	33	25	0	0	8	1.0	0.7576	NA	NA	0.8621	0.0	1.0
HVSeeker	herpesvirus	204	51	0	0	153	1.0	0.25	NA	NA	0.4	0.0	1.0
HVSeeker	hpv	20	18	0	0	2	1.0	0.9	NA	NA	0.9474	0.0	1.0
HVSeeker	lactobacillus_phage	50	48	0	0	2	1.0	0.96	NA	NA	0.9796	0.0	1.0
HVSeeker	megasphaera_phage	59	39	0	0	20	1.0	0.661	NA	NA	0.7959	0.0	1.0
HVSeeker	negative_control	6268	0	3239	3029	0	0.0	0.0	0.4832	0.5168	0.0	0.0	0.0
HVSeeker	sneathia_phage	26	26	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
Jaeger	anellovirus	2	0	0	0	2	0.0	0.0	NA	NA	0.0	0.0	NA
Jaeger	fannyhessea_phage	27	0	0	0	27	0.0	0.0	NA	NA	0.0	0.0	NA
Jaeger	gardnerella_phage	33	0	0	0	33	0.0	0.0	NA	NA	0.0	0.0	NA
Jaeger	herpesvirus	204	0	0	0	204	0.0	0.0	NA	NA	0.0	0.0	NA
Jaeger	hpv	20	0	0	0	20	0.0	0.0	NA	NA	0.0	0.0	NA
Jaeger	lactobacillus_phage	50	0	0	0	50	0.0	0.0	NA	NA	0.0	0.0	NA
Jaeger	megasphaera_phage	59	0	0	0	59	0.0	0.0	NA	NA	0.0	0.0	NA
Jaeger	negative_control	6268	0	0	6268	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
Jaeger	sneathia_phage	26	0	0	0	26	0.0	0.0	NA	NA	0.0	0.0	NA
TransGINmer	anellovirus	2	2	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
TransGINmer	fannyhessea_phage	27	20	0	0	7	1.0	0.7407	NA	NA	0.8511	0.0	1.0
