tool	source_genome	category	label	source_genome_length	n_fragments	TP	FP	TN	FN	precision	recall	specificity	FPR	F1	MCC	AUPRC
DeepVirFinder	IMGVR_UViG_2636415511_000001	sneathia_phage	viral	39231	26	24	0	0	2	1.0	0.9231	NA	NA	0.96	0.0	1.0
DeepVirFinder	IMGVR_UViG_3300007272_000043	fannyhessea_phage	viral	40885	27	20	0	0	7	1.0	0.7407	NA	NA	0.8511	0.0	1.0
DeepVirFinder	IMGVR_UViG_3300045988_083571	megasphaera_phage	viral	40756	27	26	0	0	1	1.0	0.963	NA	NA	0.9811	0.0	1.0
DeepVirFinder	IMGVR_UViG_3300045988_117760	megasphaera_phage	viral	48752	32	11	0	0	21	1.0	0.3438	NA	NA	0.5116	0.0	1.0
DeepVirFinder	MW387018.1	gardnerella_phage	viral	50268	33	13	0	0	20	1.0	0.3939	NA	NA	0.5652	0.0	1.0
DeepVirFinder	NC_001357.1	hpv	viral	7857	5	3	0	0	2	1.0	0.6	NA	NA	0.75	0.0	1.0
DeepVirFinder	NC_001443.1	hpv	viral	7824	5	2	0	0	3	1.0	0.4	NA	NA	0.5714	0.0	1.0
DeepVirFinder	NC_001526.4	hpv	viral	7906	5	3	0	0	2	1.0	0.6	NA	NA	0.75	0.0	1.0
DeepVirFinder	NC_001592.1	hpv	viral	7942	5	3	0	0	2	1.0	0.6	NA	NA	0.75	0.0	1.0
DeepVirFinder	NC_001798.2	herpesvirus	viral	154675	103	5	0	0	98	1.0	0.0485	NA	NA	0.0926	0.0	1.0
DeepVirFinder	NC_001806.2	herpesvirus	viral	152222	101	12	0	0	89	1.0	0.1188	NA	NA	0.2124	0.0	1.0
DeepVirFinder	NC_002076.2	anellovirus	viral	3852	2	2	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
DeepVirFinder	NC_007924.1	lactobacillus_phage	viral	38239	25	22	0	0	3	1.0	0.88	NA	NA	0.9362	0.0	1.0
DeepVirFinder	NC_011801.1	lactobacillus_phage	viral	38934	25	19	0	0	6	1.0	0.76	NA	NA	0.8636	0.0	1.0
DeepVirFinder	NZ_AFIJ01000001.1	negative_control	bacterial	1841	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
DeepVirFinder	NZ_AFIJ01000002.1	negative_control	bacterial	1880	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
DeepVirFinder	NZ_AFIJ01000003.1	negative_control	bacterial	19318	12	0	0	12	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000004.1	negative_control	bacterial	100595	67	0	0	67	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000005.1	negative_control	bacterial	10272	6	0	1	5	0	0.0	0.0	0.8333	0.1667	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000006.1	negative_control	bacterial	35744	23	0	0	23	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000007.1	negative_control	bacterial	148045	98	0	0	98	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000008.1	negative_control	bacterial	149073	99	0	7	92	0	0.0	0.0	0.9293	0.0707	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000009.1	negative_control	bacterial	28506	19	0	0	19	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000010.1	negative_control	bacterial	2931	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
DeepVirFinder	NZ_AFIJ01000011.1	negative_control	bacterial	37253	24	0	0	24	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000013.1	negative_control	bacterial	6229	4	0	0	4	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000014.1	negative_control	bacterial	11574	7	0	0	7	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000015.1	negative_control	bacterial	4417	2	0	0	2	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000017.1	negative_control	bacterial	21892	14	0	0	14	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000018.1	negative_control	bacterial	43361	28	0	0	28	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000019.1	negative_control	bacterial	11839	7	0	0	7	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000020.1	negative_control	bacterial	80676	53	0	0	53	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000021.1	negative_control	bacterial	2632	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
DeepVirFinder	NZ_AFIJ01000022.1	negative_control	bacterial	1726	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
DeepVirFinder	NZ_AFIJ01000023.1	negative_control	bacterial	71554	47	0	0	47	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000025.1	negative_control	bacterial	12101	8	0	0	8	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000026.1	negative_control	bacterial	50184	33	0	0	33	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000027.1	negative_control	bacterial	12043	8	0	0	8	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000028.1	negative_control	bacterial	3598	2	0	0	2	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000029.1	negative_control	bacterial	104968	69	0	0	69	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000031.1	negative_control	bacterial	1521	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
DeepVirFinder	NZ_AFIJ01000032.1	negative_control	bacterial	123176	82	0	0	82	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000033.1	negative_control	bacterial	81962	54	0	1	53	0	0.0	0.0	0.9815	0.0185	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000035.1	negative_control	bacterial	55251	36	0	0	36	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000036.1	negative_control	bacterial	38748	25	0	0	25	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000038.1	negative_control	bacterial	96055	64	0	1	63	0	0.0	0.0	0.9844	0.0156	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000039.1	negative_control	bacterial	122540	81	0	0	81	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000040.1	negative_control	bacterial	1793	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
DeepVirFinder	NZ_AFIJ01000044.1	negative_control	bacterial	23508	15	0	0	15	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DeepVirFinder	NZ_AFIJ01000045.1	negative_control	bacterial	114466	76	0	1	75	0	0.0	0.0	0.9868	0.0132	0.0	0.0	0.0
DeepVirFinder	NZ_AP012332.1	negative_control	bacterial	1667406	1111	0	264	847	0	0.0	0.0	0.7624	0.2376	0.0	0.0	0.0
DeepVirFinder	NZ_CP011280.1	negative_control	bacterial	1330224	886	0	340	546	0	0.0	0.0	0.6163	0.3837	0.0	0.0	0.0
DeepVirFinder	NZ_CP039266.1	negative_control	bacterial	2023061	1348	0	159	1189	0	0.0	0.0	0.882	0.118	0.0	0.0	0.0
DeepVirFinder	NZ_CP039267.1	negative_control	bacterial	16343	10	0	1	9	0	0.0	0.0	0.9	0.1	0.0	0.0	0.0
DeepVirFinder	NZ_CP049230.1	negative_control	bacterial	1318700	879	0	99	780	0	0.0	0.0	0.8874	0.1126	0.0	0.0	0.0
DeepVirFinder	NZ_CP065631.1	negative_control	bacterial	1447017	964	0	107	857	0	0.0	0.0	0.889	0.111	0.0	0.0	0.0
VirSorter	IMGVR_UViG_2636415511_000001	sneathia_phage	viral	39231	26	1	0	0	25	1.0	0.0385	NA	NA	0.0741	0.0	1.0
VirSorter	IMGVR_UViG_3300007272_000043	fannyhessea_phage	viral	40885	27	0	0	0	27	0.0	0.0	NA	NA	0.0	0.0	NA
