# Supplementary Table S22. Cross-track Spearman rank correlations.
# Panel A: per-tool MCC at each context (n = 14 tools). The multi-evidence
#   column is the 13-sample pooled benchmark (>=1500 bp; Gate 0).
# Panel B: pairwise Spearman (rho) with BH-adjusted p across 10 comparisons.
# Panel C: restricted to the five top Track A L1500 tools.
# Track B uses 10x CST-I (UC115_V2) MCC.

## Panel A: per-tool MCC by context
tool	Track A (L1500 MCC)	Track A (L3000 MCC)	Track B (10x coverage, CST-I MCC)	Multi-evidence benchmark (MCC)	Track C (MCC)
DeepVirFinder	0.1517	0.1389	0.1696	0.1913	0.1351
VirSorter	0.2165	0.3304	0.2654	0.2467	-0.0114
VirSorter2	0.2825	0.5006	0.6378	0.3816	0.5995
VirFinder	0.0906	0.0967	0.2206	0.0771	0.1287
PPR-Meta	0.1485	0.1839	0.2945	0.2447	0.3844
VIBRANT	0.1716	0.3541	0.4013	0.439	0.2097
Seeker	-0.0232	-0.0442	-0.3305	0.0207	0.0204
MetaPhinder	0.0486	0.0418	0.1106	0.1355	-0.0485
Sourmash	0.0	0.0	0.0	0.0	0.0
geNomad	0.6507	0.6409	0.7784	0.44	0.4192
HVSeeker	0.0132	-0.0091	-0.1748	0.0699	0.1006
Jaeger	0.0	0.237	0.4461	0.2918	0.2656
TransGINmer	0.2795	0.375	0.1974	-0.0619	0.1905
ViraLM	0.536	0.6035	0.659	0.2244	0.4053

## Panel B: pairwise Spearman rank correlations
context_1	context_2	n_tools	spearman_rho	spearman_p	spearman_p_BH
Track A (L1500 MCC)	Track A (L3000 MCC)	14	0.906	8e-06	0.0
Track A (L1500 MCC)	Track B (10x coverage, CST-I MCC)	14	0.733	0.002878	0.0048
Track A (L1500 MCC)	Multi-evidence benchmark (MCC)	14	0.506	0.064846	0.0648
Track A (L1500 MCC)	Track C (MCC)	14	0.607	0.021269	0.0266
Track A (L3000 MCC)	Track B (10x coverage, CST-I MCC)	14	0.903	1e-05	0.0
Track A (L3000 MCC)	Multi-evidence benchmark (MCC)	14	0.644	0.012942	0.0185
Track A (L3000 MCC)	Track C (MCC)	14	0.749	0.00203	0.0041
Track B (10x coverage, CST-I MCC)	Multi-evidence benchmark (MCC)	14	0.815	0.000379	0.0009
Track B (10x coverage, CST-I MCC)	Track C (MCC)	14	0.815	0.000379	0.0009
Multi-evidence benchmark (MCC)	Track C (MCC)	14	0.596	0.024613	0.0273

## Panel C: restricted to top-5 Track A L1500 tools (geNomad, ViraLM, VirSorter2, TransGINmer, VirSorter)
context_1	context_2	n_tools	spearman_rho	spearman_p	spearman_p_BH
Track A (L1500 MCC)	Track A (L3000 MCC)	5	1.0	0.0	0.0
Track A (L1500 MCC)	Track B (10x coverage, CST-I MCC)	5	0.9	0.037386	0.1246
Track A (L1500 MCC)	Multi-evidence benchmark (MCC)	5	0.5	0.391002	0.391
Track A (L1500 MCC)	Track C (MCC)	5	0.7	0.18812	0.3135
Track A (L3000 MCC)	Track B (10x coverage, CST-I MCC)	5	0.9	0.037386	0.1246
Track A (L3000 MCC)	Multi-evidence benchmark (MCC)	5	0.5	0.391002	0.391
Track A (L3000 MCC)	Track C (MCC)	5	0.7	0.18812	0.3135
Track B (10x coverage, CST-I MCC)	Multi-evidence benchmark (MCC)	5	0.7	0.18812	0.3135
Track B (10x coverage, CST-I MCC)	Track C (MCC)	5	0.6	0.284757	0.3559
Multi-evidence benchmark (MCC)	Track C (MCC)	5	0.6	0.284757	0.3559

## Panel D: independent-cohort rank replication and level agreement
tool_set	n_tools	spearman_rho	boot_CI_low	boot_CI_high	permutation_p	lin_ccc	mean_MCC_MiTCH	mean_MCC_UChoose_noE5
all 14 tools	14	0.952	0.921	0.96	<0.00005	0.837	0.174	0.261
MiTCH MCC >= 0.10	8	0.929	0.81	0.952	0.0026	0.767	0.313	0.384
five decision-relevant tools	5	0.9	0.9	1.0	0.0823	0.622	0.382	0.467
