viral_family	n_vOTUs	n_no_metavr_species	pct_no_metavr_species	n_absent_no_hit	pct_absent_no_hit	n_no_refseq_protein	pct_no_refseq_protein
Siphoviridae	2134	1672	78.4	79	3.7	1	0.0
Unclassified	1449	1245	85.9	181	12.5	50	3.5
Myoviridae	461	319	69.2	14	3.0	0	0.0
Papillomaviridae	61	13	21.3	9	14.8	0	0.0
Rountreeviridae	39	32	82.1	7	17.9	0	0.0
Podoviridae	36	19	52.8	9	25.0	0	0.0
Quimbyviridae	27	19	70.4	0	0.0	0	0.0
Autographiviridae	14	10	71.4	1	7.1	0	0.0
Podoviridae_crAss-like	13	5	38.5	3	23.1	0	0.0
Flandersviridae	6	1	16.7	0	0.0	0	0.0
Inoviridae	6	4	66.7	1	16.7	0	0.0
Microviridae	4	4	100.0	1	25.0	0	0.0
Retroviridae	3	1	33.3	0	0.0	0	0.0
Metaviridae	2	2	100.0	2	100.0	0	0.0
Herelleviridae	2	2	100.0	0	0.0	0	0.0
Virgaviridae	1	0	0.0	0	0.0	0	0.0
Gratiaviridae	1	1	100.0	0	0.0	0	0.0
Iflaviridae	1	0	0.0	0	0.0	0	0.0
Salasmaviridae	1	1	100.0	0	0.0	0	0.0
Totiviridae	1	0	0.0	0	0.0	0	0.0
Polyomaviridae	1	0	0.0	0	0.0	0	0.0
