host_genus	n_vOTUs	n_no_metavr_species	pct_no_metavr_species	n_absent_no_hit	pct_absent_no_hit	n_no_refseq_protein	pct_no_refseq_protein
Gardnerella/B.vaginale	585	543	92.8	32	5.5	0	0.0
-	509	347	68.2	89	17.5	22	4.3
Lactobacillus	430	308	71.6	5	1.2	2	0.5
Prevotella	419	340	81.1	16	3.8	18	4.3
Berryella	223	219	98.2	6	2.7	0	0.0
Dialister	171	157	91.8	14	8.2	2	1.2
Parvimonas	131	121	92.4	1	0.8	0	0.0
Streptococcus	127	81	63.8	3	2.4	3	2.4
Peptoniphilus_A	122	112	91.8	11	9.0	0	0.0
Fannyhessea	117	113	96.6	9	7.7	0	0.0
Anaerococcus	112	100	89.3	0	0.0	0	0.0
Corynebacterium	81	77	95.1	11	13.6	0	0.0
Megasphaera	77	68	88.3	5	6.5	0	0.0
Eukaryote	70	16	22.9	11	15.7	0	0.0
Escherichia	59	6	10.2	0	0.0	0	0.0
Bifidobacterium	57	12	21.1	0	0.0	0	0.0
Porphyromonas	50	48	96.0	3	6.0	0	0.0
Klebsiella	49	27	55.1	0	0.0	0	0.0
Enterococcus	43	13	30.2	0	0.0	0	0.0
Peptostreptococcus	42	27	64.3	0	0.0	0	0.0
Mobiluncus	38	35	92.1	4	10.5	0	0.0
Limosilactobacillus	37	28	75.7	0	0.0	0	0.0
Nanoperiomorbus	35	35	100.0	21	60.0	0	0.0
Aerococcus	32	26	81.2	0	0.0	0	0.0
Veillonella	31	28	90.3	0	0.0	1	3.2
Sneathia	31	29	93.5	6	19.4	1	3.2
Finegoldia	31	29	93.5	2	6.5	0	0.0
Amygdalobacter	27	26	96.3	17	63.0	0	0.0
Gemella	23	19	82.6	5	21.7	1	4.3
UBA629_sp005465875	19	19	100.0	3	15.8	0	0.0
Stomatobaculum	19	14	73.7	0	0.0	0	0.0
Staphylococcus	19	10	52.6	0	0.0	1	5.3
Porphyromonas_A	19	19	100.0	1	5.3	0	0.0
Proteus	15	3	20.0	0	0.0	0	0.0
Bulleidia	15	15	100.0	2	13.3	0	0.0
Peptoniphilus_C	15	13	86.7	1	6.7	0	0.0
Cryptobacteroides	14	13	92.9	2	14.3	0	0.0
Mageeibacillus	13	12	92.3	0	0.0	0	0.0
Fusobacterium	12	7	58.3	0	0.0	0	0.0
Ezakiella	12	10	83.3	1	8.3	0	0.0
Actinobaculum	12	3	25.0	0	0.0	0	0.0
Peptococcus	12	11	91.7	0	0.0	0	0.0
Citrobacter_B	12	6	50.0	0	0.0	0	0.0
Sodaliphilus	11	10	90.9	0	0.0	0	0.0
Campylobacter_B	10	8	80.0	3	30.0	0	0.0
Catonella	10	8	80.0	1	10.0	0	0.0
Varibaculum	9	9	100.0	1	11.1	0	0.0
Arcanobacterium_A	8	5	62.5	2	25.0	0	0.0
Eubacterium_I	8	4	50.0	0	0.0	0	0.0
Lawsonella	8	8	100.0	0	0.0	0	0.0
Haemophilus_D	7	5	71.4	0	0.0	0	0.0
Actinotignum	7	5	71.4	0	0.0	0	0.0
KA00134_sp001574395	7	7	100.0	0	0.0	0	0.0
Phocaeicola	6	0	0.0	0	0.0	0	0.0
Anaeroglobus	6	1	16.7	0	0.0	0	0.0
Pseudoglutamicibacter	6	6	100.0	1	16.7	0	0.0
Lacticaseibacillus	6	0	0.0	0	0.0	0	0.0
Granulicatella	6	5	83.3	0	0.0	0	0.0
Morganella	6	5	83.3	0	0.0	0	0.0
Odoribacter	5	1	20.0	0	0.0	0	0.0
Levyella	5	5	100.0	0	0.0	0	0.0
Winkia	5	1	20.0	0	0.0	0	0.0
Lactiplantibacillus	5	2	40.0	0	0.0	0	0.0
CAKAHY01_unknown	5	5	100.0	0	0.0	0	0.0
Alloprevotella	5	5	100.0	0	0.0	0	0.0
Bacteroides	5	1	20.0	0	0.0	0	0.0
Enterobacter	5	4	80.0	0	0.0	0	0.0
Atopobacter	4	3	75.0	3	75.0	0	0.0
Pauljensenia	4	2	50.0	0	0.0	0	0.0
Brevibacterium	4	4	100.0	3	75.0	0	0.0
Fenollaria	4	4	100.0	0	0.0	0	0.0
Alloscardovia	4	2	50.0	1	25.0	0	0.0
Olegusella	4	4	100.0	0	0.0	0	0.0
Murdochiella	4	2	50.0	0	0.0	0	0.0
S5-A14a	4	4	100.0	0	0.0	0	0.0
Oligella	4	3	75.0	0	0.0	0	0.0
Acinetobacter	4	1	25.0	0	0.0	0	0.0
Peptococcaceae	3	3	100.0	1	33.3	0	0.0
Gleimia	3	1	33.3	0	0.0	0	0.0
Hornefia	3	3	100.0	1	33.3	0	0.0
CAG-41_sp900066215	3	2	66.7	0	0.0	0	0.0
Atopobium	2	2	100.0	0	0.0	0	0.0
Arachnia	2	2	100.0	0	0.0	0	0.0
Jonquetella	2	2	100.0	1	50.0	0	0.0
Lachnospira	2	0	0.0	0	0.0	0	0.0
Olsenella_I	2	2	100.0	1	50.0	0	0.0
JAAYOA01_unknown	2	2	100.0	2	100.0	0	0.0
Khoudiadiopia	2	2	100.0	1	50.0	0	0.0
Alistipes	2	0	0.0	0	0.0	0	0.0
Agathobacter	2	2	100.0	0	0.0	0	0.0
CALXRO01_unknown	2	1	50.0	0	0.0	0	0.0
Lancefieldella	2	2	100.0	0	0.0	0	0.0
Fastidiosipila	2	2	100.0	0	0.0	0	0.0
Lachnoanaerobaculum	2	2	100.0	0	0.0	0	0.0
Campylobacter_A	2	1	50.0	0	0.0	0	0.0
W5053_unknown	2	2	100.0	2	100.0	0	0.0
Propionimicrobium	2	1	50.0	0	0.0	0	0.0
Fusobacterium_C	2	2	100.0	0	0.0	0	0.0
Mediterraneibacter	2	0	0.0	0	0.0	0	0.0
Butyricimonas	2	0	0.0	0	0.0	0	0.0
Gemmiger	2	1	50.0	0	0.0	0	0.0
Faecalibacillus	2	2	100.0	0	0.0	0	0.0
Enterococcus_B	1	0	0.0	0	0.0	0	0.0
Actinomyces	1	1	100.0	0	0.0	0	0.0
Falseniella	1	1	100.0	0	0.0	0	0.0
Pyramidobacter	1	1	100.0	0	0.0	0	0.0
CAMCNU01_unknown	1	1	100.0	0	0.0	0	0.0
Baileyella	1	1	100.0	0	0.0	0	0.0
Criibacterium	1	1	100.0	0	0.0	0	0.0
ZJ293_unknown	1	1	100.0	0	0.0	0	0.0
Paraclostridium	1	1	100.0	0	0.0	0	0.0
Nosocomiicoccus	1	1	100.0	0	0.0	0	0.0
Metamycoplasma	1	0	0.0	0	0.0	0	0.0
Mycoplasmopsis	1	1	100.0	1	100.0	0	0.0
Neisseria	1	1	100.0	0	0.0	0	0.0
Leptotrichia_A	1	1	100.0	0	0.0	0	0.0
SDRW01_sp007845485	1	1	100.0	0	0.0	0	0.0
Capnocytophaga	1	1	100.0	0	0.0	0	0.0
F0428_sp003043955	1	1	100.0	0	0.0	0	0.0
Treponema_C	1	1	100.0	0	0.0	0	0.0
Basfia	1	1	100.0	0	0.0	0	0.0
CAG-508_unknown	1	1	100.0	1	100.0	0	0.0
Olsenella_G	1	1	100.0	0	0.0	0	0.0
CAG-217_sp000436335	1	0	0.0	0	0.0	0	0.0
HOT-345_unknown	1	1	100.0	0	0.0	0	0.0
Campylobacter	1	1	100.0	0	0.0	0	0.0
Aggregatibacter	1	1	100.0	0	0.0	0	0.0
Peptoniphilus_B	1	1	100.0	0	0.0	0	0.0
Clostridium_Q	1	0	0.0	0	0.0	0	0.0
Blautia	1	0	0.0	0	0.0	0	0.0
Abiotrophia	1	0	0.0	0	0.0	0	0.0
Parasutterella	1	1	100.0	0	0.0	0	0.0
COE1_sp001916965	1	0	0.0	0	0.0	0	0.0
Butyribacter	1	0	0.0	0	0.0	0	0.0
Anaerostipes	1	0	0.0	0	0.0	0	0.0
Anaerotignum	1	0	0.0	0	0.0	0	0.0
Copromonas	1	0	0.0	0	0.0	0	0.0
Acetatifactor	1	1	100.0	0	0.0	0	0.0
Parabacteroides	1	0	0.0	0	0.0	0	0.0
ER4_sp000765235	1	0	0.0	0	0.0	0	0.0
Agathobaculum	1	1	100.0	0	0.0	0	0.0
CAG-303_sp000437755	1	0	0.0	0	0.0	0	0.0
Roseburia	1	1	100.0	0	0.0	0	0.0
