contig_id	vmgc_status	best_member	best_vOTU	weighted_identity	contig_cov_pct	subject_cov_pct	contig_len	vmgc_family	vmgc_host_phylum	vmgc_host_species
UC055_V1__NODE_47_length_5807_cov_28.590576	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC055_V1__NODE_56_length_4159_cov_54.061244	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC055_V1__NODE_68_length_3574_cov_49.360595	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC055_V1__NODE_94_length_2624_cov_278.859835	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC055_V2__NODE_1224_length_3233_cov_68733.294677	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC055_V2__NODE_1451_length_2624_cov_1704.664704	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC062_V2__NODE_1218_length_3310_cov_11047.826168	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC062_V2__NODE_1267_length_3160_cov_14.395394	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC062_V2__NODE_857_length_5246_cov_15.061327	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC065_V2__NODE_185_length_6834_cov_137.156430	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC065_V2__NODE_337_length_3506_cov_24.741032	vmgc_partial	MG14.k121_48023	v0815	94.87	1.11	0.02	3506	Siphoviridae	Bacillota_A	Peptoniphilus_A harei_A
UC093_V2__NODE_219_length_4908_cov_653.862761	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V2__NODE_228_length_4556_cov_1351.680286	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V2__NODE_269_length_3767_cov_6.514905	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V2__NODE_317_length_3340_cov_306.303402	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V2__NODE_332_length_3225_cov_31424.564485	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V3__NODE_2139_length_3708_cov_213976.343156	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V3__NODE_2417_length_3274_cov_336.461996	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V3__NODE_2443_length_3244_cov_8106.230502	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V3__NODE_2479_length_3205_cov_73.310102	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V3__NODE_2518_length_3153_cov_7.014954	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V3__NODE_2643_length_3000_cov_32.267191	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC093_V3__NODE_2696_length_2931_cov_577606.946041	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_138_length_5175_cov_3.604355	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_148_length_4801_cov_34.867697	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_162_length_4306_cov_15.158430	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_239_length_3468_cov_226.549985	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_240_length_3464_cov_334.631828	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_260_length_3362_cov_23.163775	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_263_length_3341_cov_1007.385723	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_265_length_3328_cov_21.805906	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_267_length_3323_cov_5.957486	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_290_length_3179_cov_9.421341	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_301_length_3126_cov_46.081666	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_302_length_3125_cov_68.740157	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC096_V2__NODE_383_length_2709_cov_54.886398	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC115_V2__NODE_238_length_3114_cov_36.919328	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC139_V2__NODE_1051_length_2579_cov_6.237010	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC139_V2__NODE_1096_length_2520_cov_44.169464	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC139_V2__NODE_1097_length_2520_cov_22.541547	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC139_V2__NODE_1099_length_2518_cov_96.432200	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC139_V2__NODE_394_length_5166_cov_31.624288	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC139_V2__NODE_434_length_4867_cov_3.186013	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC139_V2__NODE_510_length_4331_cov_7.309356	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC139_V2__NODE_727_length_3247_cov_29.378233	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC139_V2__NODE_857_length_2920_cov_4.085121	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC164_V2__NODE_251_length_3674_cov_2007.270781	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
UC164_V2__NODE_321_length_2979_cov_1069.961061	vmgc_no_detectable_homology			0.00	0.00	0.00	0			
