sample	n_e1b_orig	n_e1b_corrected	n_e1b_gained	n_e1b_lost	n_e1b_changed	frozen_concordance_pct	n_tier_changed	n_tier1_changed
UC028_V2	9007	8135	0	872	872	100.0	797	0
UC055_V1	514	475	0	39	39	100.0	31	0
UC055_V2	1134	899	0	235	235	100.0	188	0
UC062_V2	1735	1343	0	392	392	100.0	334	0
UC065_V2	1184	1019	0	165	165	100.0	143	0
UC074_V2	1000	784	0	216	216	100.0	179	1
UC084_V2	670	575	0	95	95	100.0	87	0
UC093_V2	1153	970	0	183	183	100.0	168	0
UC093_V3	4876	3767	0	1109	1109	100.0	966	0
UC096_V2	1537	1352	0	185	185	100.0	164	0
UC115_V2	790	665	0	125	125	100.0	115	0
UC139_V2	4586	3776	0	810	810	100.0	744	0
UC164_V2	2686	2254	0	432	432	100.0	391	0
TOTAL	30872	26014	0	4858	4858	100.0	4307	1
