sample	contig_id	e1b_change	has_e1a	tier_frozen	tier_recomp_orig	tier_corrected
UC028_V2	NODE_28445_length_240_cov_1.556757	lost	False	3	3	0
UC028_V2	NODE_23642_length_269_cov_3.271028	lost	False	3	3	0
UC028_V2	NODE_30655_length_228_cov_3.000000	lost	False	3	3	0
UC028_V2	NODE_31309_length_225_cov_1.435294	lost	False	3	3	0
UC028_V2	NODE_20611_length_296_cov_1.195021	lost	False	3	3	0
UC028_V2	NODE_47860_length_108_cov_3.056604	lost	False	3	3	0
UC028_V2	NODE_19352_length_313_cov_2.387597	lost	False	3	3	0
UC028_V2	NODE_20890_length_292_cov_4.295359	lost	False	3	3	0
UC028_V2	NODE_50054_length_100_cov_18.000000	lost	False	3	3	0
UC028_V2	NODE_6849_length_728_cov_1.426449	lost	False	3	3	0
UC028_V2	NODE_38031_length_163_cov_6.287037	lost	False	3	3	0
UC028_V2	NODE_33923_length_212_cov_1.299363	lost	False	3	3	0
UC028_V2	NODE_15657_length_376_cov_1.545171	lost	False	3	3	0
UC028_V2	NODE_29075_length_237_cov_1.054945	lost	False	3	3	0
UC028_V2	NODE_33130_length_216_cov_1.192547	lost	False	3	3	0
UC028_V2	NODE_32961_length_217_cov_1.185185	lost	False	3	3	0
UC028_V2	NODE_57754_length_81_cov_53.153846	lost	False	3	3	0
UC028_V2	NODE_12321_length_458_cov_3.848635	lost	False	3	3	0
UC028_V2	NODE_1789_length_1924_cov_2.468165	lost	False	3	3	0
UC028_V2	NODE_48684_length_105_cov_4.040000	lost	False	3	3	0
UC028_V2	NODE_47495_length_109_cov_9.925926	lost	False	3	3	0
UC028_V2	NODE_37835_length_165_cov_5.563636	lost	False	3	3	0
UC028_V2	NODE_38563_length_158_cov_1.873786	lost	False	3	3	0
UC028_V2	NODE_19830_length_306_cov_4.023904	lost	False	3	3	0
UC028_V2	NODE_29238_length_236_cov_1.447514	lost	False	3	3	0
UC028_V2	NODE_11932_length_470_cov_2.506024	lost	False	3	3	0
UC028_V2	NODE_25178_length_259_cov_2.122549	lost	False	3	3	0
UC028_V2	NODE_21447_length_286_cov_1.887446	lost	False	3	3	0
UC028_V2	NODE_35229_length_204_cov_10.248322	lost	False	3	3	0
UC028_V2	NODE_22702_length_276_cov_0.868778	lost	False	3	3	-1
UC028_V2	NODE_19290_length_314_cov_2.015444	lost	False	3	3	0
UC028_V2	NODE_20985_length_291_cov_4.173729	lost	False	3	3	0
UC028_V2	NODE_31639_length_223_cov_3.142857	lost	False	3	3	0
UC028_V2	NODE_54946_length_87_cov_10.500000	lost	False	3	3	-1
UC028_V2	NODE_25762_length_256_cov_0.830846	lost	False	2	2	3
UC028_V2	NODE_47872_length_108_cov_2.773585	lost	False	3	3	0
UC028_V2	NODE_59394_length_78_cov_227.826087	lost	False	3	3	-1
UC028_V2	NODE_18131_length_332_cov_2.054152	lost	False	3	3	0
UC028_V2	NODE_24772_length_262_cov_1.570048	lost	False	3	3	0
UC028_V2	NODE_28551_length_240_cov_1.037838	lost	False	3	3	0
UC028_V2	NODE_21906_length_281_cov_1.893805	lost	False	3	3	0
UC028_V2	NODE_49217_length_103_cov_3.791667	lost	False	3	3	0
UC028_V2	NODE_13983_length_413_cov_3.379888	lost	False	3	3	0
UC028_V2	NODE_10737_length_514_cov_3.945534	lost	False	3	3	0
UC028_V2	NODE_7521_length_679_cov_4.801282	lost	False	3	3	0
UC028_V2	NODE_4434_length_1004_cov_2.359326	lost	False	3	3	0
UC028_V2	NODE_31395_length_225_cov_1.041176	lost	False	3	3	0
UC028_V2	NODE_11770_length_475_cov_2.876190	lost	False	3	3	0
UC028_V2	NODE_8739_length_607_cov_9.211957	lost	False	3	3	0
UC028_V2	NODE_30476_length_229_cov_2.522989	lost	False	3	3	0
UC028_V2	NODE_40615_length_141_cov_1.093023	lost	False	3	3	0
UC028_V2	NODE_26199_length_253_cov_1.434343	lost	False	3	3	0
UC028_V2	NODE_19757_length_307_cov_6.519841	lost	False	3	3	0
UC028_V2	NODE_28336_length_241_cov_1.032258	lost	False	3	3	0
UC028_V2	NODE_24492_length_264_cov_0.918660	lost	False	3	3	-1
UC028_V2	NODE_29185_length_236_cov_2.121547	lost	False	3	3	0
UC028_V2	NODE_8994_length_593_cov_2.630112	lost	False	3	3	0
UC028_V2	NODE_28096_length_242_cov_1.085561	lost	False	3	3	0
UC028_V2	NODE_22370_length_278_cov_1.609865	lost	False	3	3	0
UC028_V2	NODE_7772_length_662_cov_2.912685	lost	False	3	3	0
UC028_V2	NODE_34884_length_208_cov_1.169935	lost	False	2	2	3
UC028_V2	NODE_19363_length_313_cov_1.744186	lost	False	3	3	-1
UC028_V2	NODE_48098_length_107_cov_3.634615	lost	False	3	3	0
UC028_V2	NODE_19744_length_308_cov_1.047431	lost	False	2	2	3
UC028_V2	NODE_41476_length_134_cov_5.936709	lost	False	3	3	-1
UC028_V2	NODE_23842_length_268_cov_1.286385	lost	False	2	2	3
UC028_V2	NODE_36994_length_175_cov_2.475000	lost	False	3	3	0
UC028_V2	NODE_47764_length_108_cov_8.415094	lost	False	3	3	0
UC028_V2	NODE_19547_length_310_cov_2.862745	lost	False	3	3	0
UC028_V2	NODE_21185_length_289_cov_1.653846	lost	False	3	3	0
UC028_V2	NODE_41154_length_136_cov_12.382716	lost	False	2	2	3
UC028_V2	NODE_7659_length_670_cov_2.492683	lost	False	3	3	0
UC028_V2	NODE_35159_length_206_cov_2.596026	lost	False	3	3	0
UC028_V2	NODE_47840_length_108_cov_3.886792	lost	False	3	3	0
UC028_V2	NODE_26748_length_250_cov_0.984615	lost	False	3	3	0
UC028_V2	NODE_7910_length_653_cov_2.336120	lost	False	3	3	0
UC028_V2	NODE_33592_length_214_cov_1.062893	lost	False	3	3	0
UC028_V2	NODE_15265_length_384_cov_1.674772	lost	False	3	3	0
UC028_V2	NODE_8518_length_619_cov_2.723404	lost	False	3	3	0
UC028_V2	NODE_20521_length_297_cov_1.367769	lost	False	3	3	0
UC028_V2	NODE_28678_length_239_cov_1.059783	lost	False	3	3	0
UC028_V2	NODE_26110_length_253_cov_5.752525	lost	False	3	3	0
UC028_V2	NODE_11660_length_479_cov_0.879717	lost	False	3	3	0
UC028_V2	NODE_28452_length_240_cov_1.556757	lost	False	3	3	0
UC028_V2	NODE_35925_length_191_cov_1.242647	lost	False	3	3	0
UC028_V2	NODE_3187_length_1279_cov_4.718954	lost	False	3	3	0
UC028_V2	NODE_16007_length_368_cov_952.559105	lost	False	3	3	0
UC028_V2	NODE_22512_length_277_cov_1.572072	lost	False	3	3	0
UC028_V2	NODE_27673_length_244_cov_1.947090	lost	False	3	3	0
UC028_V2	NODE_31638_length_223_cov_3.202381	lost	False	3	3	0
UC028_V2	NODE_38228_length_161_cov_6.556604	lost	False	3	3	0
UC028_V2	NODE_38542_length_158_cov_3.660194	lost	False	3	3	0
UC028_V2	NODE_40595_length_141_cov_2.267442	lost	False	3	3	0
UC028_V2	NODE_18289_length_329_cov_5.832117	lost	False	3	3	0
UC028_V2	NODE_20278_length_300_cov_2.730612	lost	False	3	3	0
UC028_V2	NODE_49480_length_102_cov_4.319149	lost	False	3	3	0
UC028_V2	NODE_47814_length_108_cov_4.792453	lost	False	3	3	-1
UC028_V2	NODE_47996_length_107_cov_12.923077	lost	False	3	3	0
UC028_V2	NODE_23153_length_273_cov_0.880734	lost	False	3	3	-1
UC028_V2	NODE_10361_length_529_cov_2.525316	lost	False	3	3	0
UC028_V2	NODE_16721_length_355_cov_2.630000	lost	False	3	3	0
UC028_V2	NODE_47572_length_109_cov_4.240741	lost	False	3	3	0
UC028_V2	NODE_20452_length_298_cov_1.551440	lost	False	2	2	3
UC028_V2	NODE_30416_length_230_cov_1.057143	lost	False	3	3	0
UC028_V2	NODE_30457_length_229_cov_3.678161	lost	False	3	3	0
UC028_V2	NODE_36479_length_182_cov_3.740157	lost	False	3	3	0
UC028_V2	NODE_41425_length_134_cov_29.987342	lost	False	3	3	0
UC028_V2	NODE_24312_length_265_cov_1.371429	lost	False	3	3	0
UC028_V2	NODE_16715_length_355_cov_2.840000	lost	False	3	3	0
UC028_V2	NODE_21605_length_284_cov_2.515284	lost	False	3	3	0
UC028_V2	NODE_31329_length_225_cov_1.129412	lost	False	3	3	0
UC028_V2	NODE_38347_length_160_cov_2.514286	lost	False	3	3	0
UC028_V2	NODE_31891_length_222_cov_1.281437	lost	False	3	3	0
UC028_V2	NODE_27982_length_243_cov_1.000000	lost	False	3	3	0
UC028_V2	NODE_12046_length_467_cov_1.864078	lost	False	3	3	0
