rank	tool	MCC	CI_low	CI_high	disc_no_e5_MCC	disc_rank
1	VIBRANT	0.5677	0.5459	0.587	0.5739	1
2	geNomad	0.457	0.3937	0.5031	0.5713	2
3	Jaeger	0.3501	0.3169	0.3806	0.3604	4
4	VirSorter2	0.3081	0.2389	0.3682	0.5051	3
5	ViraLM	0.225	0.1756	0.2725	0.3234	7
6	PPR-Meta	0.2247	0.1854	0.2621	0.3314	5
7	MetaPhinder	0.2059	0.1777	0.236	0.175	9
8	DeepVirFinder	0.1662	0.138	0.1866	0.2309	8
9	VirSorter	0.0687	0.0362	0.0975	0.3301	6
10	VirFinder	0.0321	0.0026	0.0523	0.1235	10
11	HVSeeker	0.0067	-0.01	0.0255	0.0977	11
12	Sourmash	0.0	0.0	0.0	0.0	13
13	Seeker	-0.0228	-0.0402	-0.0032	0.0407	12
14	TransGINmer	-0.1467	-0.1882	-0.0976	-0.0077	14
