context	tool_a	tool_b	delta_a_minus_b	ci_low	ci_high	ci_excludes_zero	bootstrap_draws	unit	seed
multi_evidence	geNomad	ViraLM	0.215624669699471	0.19327418362073814	0.23676347945047738	True	2000	contig	42
multi_evidence	geNomad	VirSorter2	0.05836447501320435	0.03408849412395661	0.08112329506849836	True	2000	contig	42
multi_evidence	geNomad	VIBRANT	0.0010370660965893785	-0.023509932438636548	0.025708562703302257	False	2000	contig	42
multi_evidence	geNomad	Jaeger	0.14820706504850117	0.12426287051062085	0.1723541012725485	True	2000	contig	42
multi_evidence	ViraLM	VirSorter2	-0.15726019468626665	-0.17960182351806744	-0.1351831113883279	True	2000	contig	42
multi_evidence	ViraLM	VIBRANT	-0.21458760360288162	-0.2374129148561224	-0.19144023224177756	True	2000	contig	42
multi_evidence	ViraLM	Jaeger	-0.06741760465096983	-0.08912367277645601	-0.04506430169146939	True	2000	contig	42
multi_evidence	VirSorter2	VIBRANT	-0.057327408916614975	-0.08006973692764581	-0.03362763263629519	True	2000	contig	42
multi_evidence	VirSorter2	Jaeger	0.08984259003529682	0.06559282898225959	0.11467345063159078	True	2000	contig	42
multi_evidence	VIBRANT	Jaeger	0.1471699989519118	0.12292058532106316	0.17003804738926528	True	2000	contig	42
track_c	geNomad	ViraLM	0.013924990310640262	-0.09333595634492667	0.11023211293164918	False	2000	contig	42
track_c	geNomad	VirSorter2	-0.18026612806332648	-0.3053509758992381	-0.0687840502236671	True	2000	contig	42
track_c	geNomad	VIBRANT	0.20946817093196862	-0.04915010386568501	0.44879640596636466	False	2000	contig	42
track_c	geNomad	Jaeger	0.15360260866575642	0.010179666029078768	0.292703228550024	True	2000	contig	42
track_c	ViraLM	VirSorter2	-0.19419111837396674	-0.3095134848040174	-0.08818762294056227	True	2000	contig	42
track_c	ViraLM	VIBRANT	0.19554318062132836	-0.04027937409659289	0.40944415549522156	False	2000	contig	42
track_c	ViraLM	Jaeger	0.13967761835511616	0.014239773468513446	0.2648788991076809	True	2000	contig	42
track_c	VirSorter2	VIBRANT	0.3897342989952951	0.1744250689219312	0.5924013714113282	True	2000	contig	42
track_c	VirSorter2	Jaeger	0.3338687367290829	0.207495184151319	0.4584818350354998	True	2000	contig	42
track_c	VIBRANT	Jaeger	-0.0558655622662122	-0.2379697690351361	0.1282051165164795	False	2000	contig	42
mitch	geNomad	ViraLM	0.2319794764752066	0.18179140368498053	0.2665024289019402	True	2000	sample	12345
mitch	geNomad	VirSorter2	0.1489512366936538	0.13024834194255375	0.16632622772983416	True	2000	sample	12345
mitch	geNomad	VIBRANT	-0.11068876334651184	-0.1661964253423364	-0.07033288760756558	True	2000	sample	12345
mitch	geNomad	Jaeger	0.10692182183343896	0.04416882964479947	0.15336348363672078	True	2000	sample	12345
mitch	ViraLM	VirSorter2	-0.0830282397815528	-0.12877853564938338	-0.0198070828084012	True	2000	sample	12345
mitch	ViraLM	VIBRANT	-0.34266823982171846	-0.3897973908596412	-0.2954958865853639	True	2000	sample	12345
mitch	ViraLM	Jaeger	-0.12505765464176763	-0.18040831491597636	-0.0676650891515809	True	2000	sample	12345
mitch	VirSorter2	VIBRANT	-0.25964000004016563	-0.3215182194261779	-0.2046047971893487	True	2000	sample	12345
mitch	VirSorter2	Jaeger	-0.04202941486021483	-0.10921771939322121	0.01567783706020799	False	2000	sample	12345
mitch	VIBRANT	Jaeger	0.2176105851799508	0.1928088781617955	0.24368510815180058	True	2000	sample	12345
