sample	VIBRANT	geNomad	Jaeger	VirSorter2	ViraLM	PPR-Meta	MetaPhinder	DeepVirFinder	VirSorter	VirFinder	HVSeeker	Sourmash	Seeker	TransGINmer
MITCH01	0.6795	0.5873	0.6312	0.4767	0.3149	0.3491	0.3903	0.1945	0.1706	0.0938	0.0954	0.0	0.0444	-0.2695
MITCH02	0.5584	0.4655	0.3171	0.342	0.2628	0.2154	0.211	0.1795	0.1293	0.0379	-0.0051	0.0	0.0304	-0.0487
MITCH03	0.6259	0.4343	0.3998	0.2335	0.4665	0.4163	0.4387	0.1538	-0.0022	0.0069	0.1345	0.0	0.0715	-0.1361
MITCH04	0.5817	0.3461	0.4359	0.1076	0.2905	0.3647	0.2517	0.0958	-0.051	-0.1602	0.09	0.0	-0.0456	-0.2169
MITCH05	0.3205	0.0772	0.1004	-0.0228	0.0114	0.0043	0.0993	0.0251	-0.0467	-0.0947	0.0872	0.0	0.0559	-0.1184
MITCH06	0.594	0.2104	0.3486	0.0935	0.1289	0.1369	0.1552	0.0263	-0.0258	-0.0589	0.0072	0.0	-0.0286	-0.2394
MITCH07	0.5563	0.1721	0.4103	0.0991	0.1819	0.1203	0.2756	0.0616	-0.0405	-0.0532	0.0517	0.0	0.0052	-0.2157
MITCH08	0.5496	0.2489	0.2676	0.0964	0.1798	0.1555	0.1207	0.1057	0.0016	-0.0153	0.026	0.0	-0.0496	-0.0497
MITCH09	0.471	0.0961	0.292	-0.0366	0.231	0.1143	0.1907	0.0381	-0.0687	-0.1106	-0.0052	0.0	-0.0773	-0.0991
MITCH10	0.4738	0.3796	0.2795	0.2692	0.1136	0.1406	0.2516	0.1499	0.0466	0.0598	0.0678	0.0	0.0464	-0.2714
MITCH11	0.317	0.1053	0.2614	-0.1023	-0.0663	-0.0029	0.4063	-0.0739	-0.1228	-0.1939	0.0973	0.0	0.0043	-0.4202
MITCH12	0.5953	0.6078	0.3233	0.5399	0.3308	0.302	0.159	0.2108	0.2541	0.0855	0.0354	0.0	-0.0119	0.0073
MITCH13	0.5026	0.4541	0.4018	0.3506	0.2486	0.2719	0.1992	0.2022	0.0504	0.0934	0.0428	0.0	0.0242	-0.0466
MITCH14	0.2916	0.0938	0.1159	-0.0012	0.0014	-0.0119	0.0215	0.0329	0.0063	-0.0669	-0.031	0.0	-0.11	-0.3413
MITCH15	0.7002	0.5062	0.5427	0.3664	0.2206	0.2639	0.3717	0.2168	0.1971	0.0739	0.0917	0.0	0.0409	-0.3615
MITCH16	0.6443	0.3811	0.424	0.2764	0.1239	0.1836	0.1519	0.1431	0.0245	0.0859	0.0552	0.0	0.0182	-0.1923
MITCH17	0.5429	0.546	0.3121	0.4516	0.3136	0.2351	0.1543	0.2019	0.141	0.0112	-0.0168	0.0	-0.0477	-0.0159
MITCH18	0.597	0.5913	0.3694	0.5315	0.3332	0.3401	0.2496	0.2312	0.1515	0.0882	0.0437	0.0	0.0336	-0.0919
MITCH19	0.5409	0.5685	0.3352	0.497	0.2626	0.2492	0.1176	0.1949	0.2796	0.0641	-0.0366	0.0	0.0052	0.0223
MITCH20	0.4387	0.1104	-0.0434	-0.0216	-0.0254	-0.0668	0.1766	-0.001	-0.1382	-0.1569	-0.0494	0.0	-0.1391	-0.4052
MITCH21	0.6014	0.6227	0.3448	0.5134	0.325	0.2747	0.2954	0.1919	0.1909	0.0288	0.0544	0.0	0.0528	-0.0323
MITCH22	0.5586	0.5718	0.3554	0.5786	0.3595	0.3584	0.225	0.2424	0.2967	0.1076	0.0945	0.0	0.0495	0.0801
MITCH23	0.5403	0.432	0.2308	0.2773	0.2219	0.1546	0.112	0.1284	0.0839	0.0114	-0.0223	0.0	-0.009	-0.0065
MITCH24	0.5276	0.2508	0.2032	0.1297	0.0679	0.0772	0.0669	0.0542	-0.0248	-0.0166	0.007	0.0	-0.0391	-0.2054
MITCH25	0.4407	0.1861	0.2291	0.0476	0.1843	0.1496	0.1704	0.088	-0.0741	-0.1097	0.0179	0.0	-0.0018	-0.1245
MITCH26	0.5685	0.5191	0.3437	0.3304	0.3669	0.3242	0.2536	0.1652	0.0456	-0.023	0.0115	0.0	-0.0175	-0.0186
MITCH27	0.4718	0.4689	0.2707	0.255	0.1424	0.1526	0.1187	0.0703	-0.0076	0.0115	-0.0415	0.0	-0.0728	-0.111
MITCH28	0.5104	0.2941	0.2413	0.1486	0.2329	0.2197	0.2468	0.0873	-0.06	-0.1157	0.0192	0.0	0.0595	-0.1555
MITCH29	0.2458	0.0528	0.0825	-0.1617	-0.045	-0.0534	0.0531	0.0587	-0.1228	-0.1799	-0.0461	0.0	-0.2282	-0.4042
MITCH30	0.4933	0.1876	0.2102	0.1119	0.0517	0.0533	0.0729	0.061	0.0093	-0.0144	-0.01	0.0	-0.0309	-0.1997
