sampleID	CST	CST_subtype	CST_score	mgCST	mgCST_score
MITCH01	I	I-B	0.9772425704361668	mgCST 5	0.943847563759881
MITCH02	IV-B	IV-B	0.6065090971787257	mgCST 19	0.396906356988502
MITCH03	III	III-B	0.7131252951521548	mgCST 10	0.529969517805232
MITCH04	IV-B	IV-B	0.6719353106963147	mgCST 18	0.788615640402633
MITCH05	I	I-B	0.9673990161913864	mgCST 1	0.965549439347925
MITCH06	I	I-B	0.6265916518669828	mgCST 1	0.539126708722859
MITCH07	I	I-A	0.9825490395777674	mgCST 1	0.995975687800724
MITCH08	I	I-B	0.7004911696777378	mgCST 1	0.657903598563785
MITCH09	III	III-B	0.8540794151468303	mgCST 10	0.835516404433733
MITCH10	IV-B	IV-B	0.6047875625144832	mgCST 11	0.308178104959681
MITCH11	V	V	0.7804497106092475	mgCST 15	0.84721156632704
MITCH12	IV-B	IV-B	0.6151242073918525	mgCST 16	0.365155040723841
MITCH13	IV-B	IV-B	0.6116555181504512	mgCST 18	0.583613786245502
MITCH14	IV-B	IV-B	0.4864474456766448	mgCST 18	0.791753434966047
MITCH15	III	III-B	0.7448233795357576	mgCST 2	0.757580215272019
MITCH16	I	I-B	0.7901217474910835	mgCST 2	0.936070027713769
MITCH17	IV-B	IV-B	0.6226852113010793	mgCST 20	0.315271256352242
MITCH18	IV-B	IV-B	0.8075597030063247	mgCST 20	0.273364245905894
MITCH19	IV-B	IV-B	0.5969681864633639	mgCST 20	0.279983668833693
MITCH20	IV-B	IV-B	0.5695455429261608	mgCST 20	0.145163537609337
MITCH21	IV-B	IV-B	0.6427343664318879	mgCST 21	0.90938588766216
MITCH22	IV-B	IV-B	0.7371429031064987	mgCST 22	0.494509639140709
MITCH23	IV-B	IV-B	0.21736428367948	mgCST 22	0.120854595911317
MITCH24	IV-B	IV-B	0.5991932532348464	mgCST 22	0.199350047153491
MITCH25	IV-B	IV-B	0.6189042453557554	mgCST 22	0.326938757970382
MITCH26	IV-B	IV-B	0.676952065572069	mgCST 22	0.383922731684296
MITCH27	IV-B	IV-B	0.6290006989235467	mgCST 23	0.919893767606135
MITCH28	IV-B	IV-B	0.6760668614437237	mgCST 23	0.605464875405181
MITCH29	IV-C	IV-C3	0.535919684565202	mgCST 24	0.477698822280254
MITCH30	III	III-B	0.928039804720832	mgCST 9	0.898278390363186
