accession	organism	category	genome_size_bp	host
NC_011801.1	Lactobacillus phage Lv-1	lactobacillus_phage	38934	Lactobacillus jensenii
NC_007924.1	Lactobacillus phage KC5a	lactobacillus_phage	37349	Lactobacillus crispatus
MW387018.1	Gardnerella phage vB_Gva_AB1	gardnerella_phage	50268	Gardnerella vaginalis
IMGVR_UViG_3300045988_117760	Megasphaera phage MetaVR-Mega1	megasphaera_phage	48752	Megasphaera sp.
IMGVR_UViG_3300045988_083571	Megasphaera phage MetaVR-Mega2	megasphaera_phage	40756	Megasphaera sp.
IMGVR_UViG_3300007272_000043	Fannyhessea phage MetaVR-Fanny1	fannyhessea_phage	40885	Fannyhessea vaginae
IMGVR_UViG_2636415511_000001	Sneathia phage MetaVR-Sneath1	sneathia_phage	39231	Sneathia vaginalis
NC_001526.4	Human papillomavirus type 16	hpv	7906	Homo sapiens
NC_001357.1	Human papillomavirus type 18	hpv	7857	Homo sapiens
NC_001592.1	Human papillomavirus type 52	hpv	7942	Homo sapiens
NC_001443.1	Human papillomavirus type 58	hpv	7824	Homo sapiens
NC_002076.2	Torque teno virus 1	anellovirus	3853	Homo sapiens
NC_001806.2	Human alphaherpesvirus 1	herpesvirus	152261	Homo sapiens
NC_001798.2	Human alphaherpesvirus 2	herpesvirus	154746	Homo sapiens
GCF_009769205.1	Lactobacillus crispatus JCM 1185	negative_control	2100437	—
GCF_011058775.1	Lactobacillus iners LactinV09V1-d	negative_control	1271218	—
GCF_001042655.1	Gardnerella vaginalis ATCC 14019	negative_control	1617951	—
GCF_016026575.1	Fannyhessea vaginae CCUG 44116	negative_control	1564956	—
GCF_000214495.1	Megasphaera lornae DSM 2286	negative_control	2474718	—
GCF_000973085.1	Sneathia vaginalis SN35	negative_control	1603188	—
