tool	TP	FP	TN	FN	precision	recall	specificity	FPR	F1	MCC	AUPRC	n_predicted	n_total	note
geNomad	208	24	6244	213	0.8966	0.4941	0.9962	0.0038	0.6371	0.6507	0.4843	232	6689	thr=0.7
ViraLM	394	717	5551	27	0.3546	0.9359	0.8856	0.1144	0.5144	0.536	0.8109	1111	6689	thr=0.5
VirSorter2	134	266	6002	287	0.335	0.3183	0.9576	0.0424	0.3264	0.2825	0.1904	400	6689	thr=0.5
TransGINmer	311	1452	4816	110	0.1764	0.7387	0.7683	0.2317	0.2848	0.2795	0.3874	1763	6689	thr=0.5
VirSorter	21	0	6268	400	1.0	0.0499	1.0	0.0	0.095	0.2165	0.1097	21	6689	thr=0.5
VIBRANT	23	14	6254	398	0.6216	0.0546	0.9978	0.0022	0.1004	0.1716	0.0935	37	6689	thr=0.5
DeepVirFinder	165	981	5287	256	0.144	0.3919	0.8435	0.1565	0.2106	0.1517	0.1666	1146	6689	thr=0.5 (+ pvalue < 0.05)
PPR-Meta	178	1130	5138	243	0.1361	0.4228	0.8197	0.1803	0.2059	0.1485	0.2214	1308	6689	thr=0.5
VirFinder	80	522	5746	341	0.1329	0.19	0.9167	0.0833	0.1564	0.0906	0.0997	602	6689	thr=0.5 (+ pvalue < 0.05)
MetaPhinder	173	1989	4279	248	0.08	0.4109	0.6827	0.3173	0.134	0.0486	0.07	2162	6689	thr=0.5
HVSeeker	229	3239	3029	192	0.066	0.5439	0.4832	0.5168	0.1178	0.0132	0.0737	3468	6689	thr=0.5
Sourmash	0	0	6268	421	0.0	0.0	1.0	0.0	0.0	0.0	0.0674	0	6689	thr=0.5
Jaeger	0	0	6268	421	0	0	1.0	0.0	0	0	NA	0	6689	no_output
Seeker	215	3498	2770	206	0.0579	0.5107	0.4419	0.5581	0.104	-0.0232	0.0676	3713	6689	thr=0.5
