tool	n_low	n_high	viral_frac_low	viral_frac_high	viral_frac_cohort	pooled_MCC_low	pooled_MCC_high	pooled_delta	pooled_CIl	pooled_CIh	pooled_excludes_0	mean_per_sample_MCC_low	mean_per_sample_MCC_high	mean_per_sample_delta	mean_per_sample_CIl	mean_per_sample_CIh	mean_per_sample_excludes_0	prev_std_low_MCC_low	prev_std_low_MCC_high	prev_std_low_delta	prev_std_low_CIl	prev_std_low_CIh	prev_std_low_excludes_0	prev_std_cohort_MCC_low	prev_std_cohort_MCC_high	prev_std_cohort_delta	prev_std_cohort_CIl	prev_std_cohort_CIh	prev_std_cohort_excludes_0
VIBRANT	11	19	0.0195	0.0638	0.0474	0.6086	0.5576	-0.051	-0.0967	0.0165	False	0.541	0.5046	-0.0364	-0.1161	0.0449	False	0.6086	0.5472	-0.0615	-0.1057	0.0055	False	0.6107	0.5579	-0.0528	-0.0984	0.0151	False
geNomad	11	19	0.0195	0.0638	0.0474	0.3224	0.4985	0.1762	0.0696	0.2865	True	0.2733	0.398	0.1247	-0.006	0.2462	False	0.3224	0.3535	0.0311	-0.067	0.1674	False	0.4309	0.4653	0.0344	-0.0656	0.1785	False
Jaeger	11	19	0.0195	0.0638	0.0474	0.4019	0.332	-0.0698	-0.1728	0.0444	False	0.3535	0.271	-0.0825	-0.1843	0.0125	False	0.4019	0.2067	-0.1952	-0.2742	-0.0734	True	0.4935	0.2983	-0.1953	-0.2732	-0.0722	True
VirSorter2	11	19	0.0195	0.0638	0.0474	0.1994	0.3548	0.1553	0.0419	0.2681	True	0.1447	0.2729	0.1282	-0.008	0.2598	False	0.1994	0.2214	0.022	-0.0729	0.1619	False	0.2904	0.3189	0.0285	-0.0975	0.1846	False
ViraLM	11	19	0.0195	0.0638	0.0474	0.143	0.2594	0.1164	0.0098	0.1848	True	0.1677	0.2099	0.0422	-0.0644	0.134	False	0.143	0.1544	0.0114	-0.0399	0.0537	False	0.2133	0.2296	0.0163	-0.0451	0.0802	False
PPR-Meta	11	19	0.0195	0.0638	0.0474	0.1867	0.2437	0.057	-0.0285	0.1416	False	0.1631	0.1946	0.0315	-0.0661	0.1196	False	0.1867	0.1464	-0.0403	-0.092	0.0278	False	0.2735	0.2164	-0.0571	-0.1219	0.0423	False
MetaPhinder	11	19	0.0195	0.0638	0.0474	0.216	0.1973	-0.0186	-0.1376	0.0601	False	0.243	0.1755	-0.0676	-0.1557	0.0117	False	0.216	0.1161	-0.0999	-0.1733	-0.0413	True	0.3127	0.1739	-0.1388	-0.1996	-0.0649	True
DeepVirFinder	11	19	0.0195	0.0638	0.0474	0.126	0.1785	0.0526	0.0091	0.1022	True	0.0866	0.136	0.0494	-0.0082	0.1053	False	0.126	0.1026	-0.0234	-0.0554	0.0458	False	0.1907	0.1561	-0.0347	-0.0897	0.0543	False
VirSorter	11	19	0.0195	0.0638	0.0474	0.0413	0.0874	0.0461	-0.0091	0.106	False	0.0088	0.063	0.0543	-0.0258	0.1305	False	0.0413	0.0511	0.0098	-0.0313	0.0698	False	0.0625	0.0769	0.0144	-0.0447	0.0872	False
HVSeeker	11	19	0.0195	0.0638	0.0474	0.0545	0.0048	-0.0497	-0.0834	-0.0166	True	0.0574	0.0124	-0.045	-0.0788	-0.0129	True	0.0545	0.0027	-0.0518	-0.0814	-0.0234	True	0.0841	0.0042	-0.0799	-0.1093	-0.0404	True
VirFinder	11	19	0.0195	0.0638	0.0474	0.0291	0.0355	0.0064	-0.0393	0.0705	False	-0.0255	-0.0121	0.0134	-0.0498	0.0747	False	0.0291	0.0202	-0.0089	-0.0466	0.0605	False	0.0445	0.0309	-0.0136	-0.0764	0.0714	False
Seeker	11	19	0.0195	0.0638	0.0474	0.0116	-0.0157	-0.0273	-0.0582	0.0076	False	0.0049	-0.0222	-0.0271	-0.0724	0.0113	False	0.0116	-0.0089	-0.0205	-0.0485	0.0078	False	0.0178	-0.0136	-0.0314	-0.065	0.0131	False
Sourmash	11	19	0.0195	0.0638	0.0474	0.0	0.0	0.0	0.0	0.0	False	0.0	0.0	0.0	0.0	0.0	False	0.0	0.0	0.0	0.0	0.0	False	0.0	0.0	0.0	0.0	0.0	False
TransGINmer	11	19	0.0195	0.0638	0.0474	-0.2169	-0.1009	0.116	0.0444	0.1779	True	-0.2092	-0.1256	0.0836	-0.0089	0.1705	False	-0.2169	-0.0573	0.1597	0.0849	0.2086	True	-0.3185	-0.0878	0.2307	0.1027	0.3125	True
