sample	cst	tool	method_approach	tool_scope	virus_category	cell_A	cell_B	cell_D	cell_E	n_rca_positive	rca_validated_recall	rca_validated_precision
UC084_V2	CST-I	DeepVirFinder	Deep learning	prokaryotic-virus-focused	eukaryotic_virus	1	0	0	0	1	1.0	1.0
UC084_V2	CST-I	DeepVirFinder	Deep learning	prokaryotic-virus-focused	phage	5	0	63	0	68	0.0735	1.0
UC084_V2	CST-I	VirSorter	Feature-based ML	phage-only	eukaryotic_virus	0	0	1	0	1	0.0	NA
UC084_V2	CST-I	VirSorter	Feature-based ML	phage-only	phage	0	0	68	0	68	0.0	NA
UC084_V2	CST-I	VirSorter2	Feature-based ML	all-virus	eukaryotic_virus	1	0	0	0	1	1.0	1.0
UC084_V2	CST-I	VirSorter2	Feature-based ML	all-virus	phage	1	0	67	0	68	0.0147	1.0
UC084_V2	CST-I	VirFinder	Feature-based ML	phage-only	eukaryotic_virus	0	0	1	0	1	0.0	NA
UC084_V2	CST-I	VirFinder	Feature-based ML	phage-only	phage	10	0	58	0	68	0.1471	1.0
UC084_V2	CST-I	PPR-Meta	Deep learning	phage+plasmid	eukaryotic_virus	1	0	0	0	1	1.0	1.0
UC084_V2	CST-I	PPR-Meta	Deep learning	phage+plasmid	phage	17	0	51	0	68	0.25	1.0
UC084_V2	CST-I	VIBRANT	Feature-based ML	prokaryotic viruses	eukaryotic_virus	0	0	1	0	1	0.0	NA
UC084_V2	CST-I	VIBRANT	Feature-based ML	prokaryotic viruses	phage	0	0	68	0	68	0.0	NA
UC084_V2	CST-I	Seeker	Deep learning	phage-only	eukaryotic_virus	1	0	0	0	1	1.0	1.0
UC084_V2	CST-I	Seeker	Deep learning	phage-only	phage	0	0	68	0	68	0.0	NA
UC084_V2	CST-I	MetaPhinder	Reference-based	phage-only	eukaryotic_virus	0	0	1	0	1	0.0	NA
UC084_V2	CST-I	MetaPhinder	Reference-based	phage-only	phage	3	0	65	0	68	0.0441	1.0
UC084_V2	CST-I	Sourmash	Reference-based	database-dependent	eukaryotic_virus	0	0	1	0	1	0.0	NA
UC084_V2	CST-I	Sourmash	Reference-based	database-dependent	phage	0	0	68	0	68	0.0	NA
UC084_V2	CST-I	geNomad	DNN + markers	all-virus	eukaryotic_virus	1	0	0	0	1	1.0	1.0
UC084_V2	CST-I	geNomad	DNN + markers	all-virus	phage	0	0	68	0	68	0.0	NA
UC084_V2	CST-I	HVSeeker	Deep learning	phage-only	eukaryotic_virus	1	0	0	0	1	1.0	1.0
UC084_V2	CST-I	HVSeeker	Deep learning	phage-only	phage	6	0	62	0	68	0.0882	1.0
UC084_V2	CST-I	Jaeger	Deep learning	phage-only	eukaryotic_virus	0	0	1	0	1	0.0	NA
UC084_V2	CST-I	Jaeger	Deep learning	phage-only	phage	0	0	68	0	68	0.0	NA
UC084_V2	CST-I	TransGINmer	Attention/transformer	all-virus	eukaryotic_virus	1	0	0	0	1	1.0	1.0
UC084_V2	CST-I	TransGINmer	Attention/transformer	all-virus	phage	19	0	49	0	68	0.2794	1.0
UC084_V2	CST-I	ViraLM	Attention/transformer	all-virus	eukaryotic_virus	1	0	0	0	1	1.0	1.0
UC084_V2	CST-I	ViraLM	Attention/transformer	all-virus	phage	2	0	66	0	68	0.0294	1.0
UC115_V2	CST-I	DeepVirFinder	Deep learning	prokaryotic-virus-focused	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	DeepVirFinder	Deep learning	prokaryotic-virus-focused	phage	53	0	123	0	176	0.3011	1.0
UC115_V2	CST-I	VirSorter	Feature-based ML	phage-only	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	VirSorter	Feature-based ML	phage-only	phage	2	0	174	0	176	0.0114	1.0
UC115_V2	CST-I	VirSorter2	Feature-based ML	all-virus	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	VirSorter2	Feature-based ML	all-virus	phage	5	0	171	0	176	0.0284	1.0
UC115_V2	CST-I	VirFinder	Feature-based ML	phage-only	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	VirFinder	Feature-based ML	phage-only	phage	63	0	113	0	176	0.358	1.0
UC115_V2	CST-I	PPR-Meta	Deep learning	phage+plasmid	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	PPR-Meta	Deep learning	phage+plasmid	phage	79	0	97	0	176	0.4489	1.0
UC115_V2	CST-I	VIBRANT	Feature-based ML	prokaryotic viruses	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	VIBRANT	Feature-based ML	prokaryotic viruses	phage	3	0	173	0	176	0.017	1.0
UC115_V2	CST-I	Seeker	Deep learning	phage-only	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	Seeker	Deep learning	phage-only	phage	24	0	152	0	176	0.1364	1.0
UC115_V2	CST-I	MetaPhinder	Reference-based	phage-only	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	MetaPhinder	Reference-based	phage-only	phage	16	0	160	0	176	0.0909	1.0
UC115_V2	CST-I	Sourmash	Reference-based	database-dependent	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	Sourmash	Reference-based	database-dependent	phage	0	0	176	0	176	0.0	NA
UC115_V2	CST-I	geNomad	DNN + markers	all-virus	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	geNomad	DNN + markers	all-virus	phage	3	0	173	0	176	0.017	1.0
UC115_V2	CST-I	HVSeeker	Deep learning	phage-only	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	HVSeeker	Deep learning	phage-only	phage	52	0	124	0	176	0.2955	1.0
UC115_V2	CST-I	Jaeger	Deep learning	phage-only	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	Jaeger	Deep learning	phage-only	phage	0	0	176	0	176	0.0	NA
UC115_V2	CST-I	TransGINmer	Attention/transformer	all-virus	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	TransGINmer	Attention/transformer	all-virus	phage	91	0	85	0	176	0.517	1.0
UC115_V2	CST-I	ViraLM	Attention/transformer	all-virus	eukaryotic_virus	0	0	0	0	0	NA	NA
UC115_V2	CST-I	ViraLM	Attention/transformer	all-virus	phage	8	0	168	0	176	0.0455	1.0
UC164_V2	CST-I	DeepVirFinder	Deep learning	prokaryotic-virus-focused	eukaryotic_virus	0	0	0	0	0	NA	NA
UC164_V2	CST-I	DeepVirFinder	Deep learning	prokaryotic-virus-focused	phage	4	0	18	0	22	0.1818	1.0
UC164_V2	CST-I	VirSorter	Feature-based ML	phage-only	eukaryotic_virus	0	0	0	0	0	NA	NA
UC164_V2	CST-I	VirSorter	Feature-based ML	phage-only	phage	0	0	22	0	22	0.0	NA
UC164_V2	CST-I	VirSorter2	Feature-based ML	all-virus	eukaryotic_virus	0	0	0	0	0	NA	NA
UC164_V2	CST-I	VirSorter2	Feature-based ML	all-virus	phage	1	0	21	0	22	0.0455	1.0
UC164_V2	CST-I	VirFinder	Feature-based ML	phage-only	eukaryotic_virus	0	0	0	0	0	NA	NA
UC164_V2	CST-I	VirFinder	Feature-based ML	phage-only	phage	3	0	19	0	22	0.1364	1.0
