sample	CST	arm	bacterial_shannon	bacterial_richness_ge_0.1pct	lactobacillus_fraction	n_contigs	n_viral	n_negative	n_viral_eukaryotic_virus	n_viral_free_phage	n_viral_prophage	viral_fraction	MCC_DeepVirFinder	MCC_HVSeeker	MCC_Jaeger	MCC_MetaPhinder	MCC_PPR-Meta	MCC_Seeker	MCC_Sourmash	MCC_TransGINmer	MCC_VIBRANT	MCC_VirFinder	MCC_VirSorter	MCC_VirSorter2	MCC_ViraLM	MCC_geNomad
MITCH01	I	CST-I/III/V	0.9503	15	0.9517	2636	108	2528	1	102	5	0.0410	0.1945	0.0954	0.6312	0.3903	0.3491	0.0444	0.0000	-0.2695	0.6795	0.0938	0.1706	0.4767	0.3149	0.5873
MITCH02	IV-B	CST-IV	3.2674	46	0.0060	2722	257	2465	0	236	21	0.0944	0.1795	-0.0051	0.3171	0.2110	0.2154	0.0304	0.0000	-0.0487	0.5584	0.0379	0.1293	0.3420	0.2628	0.4655
MITCH03	III	CST-I/III/V	1.4525	20	0.8941	786	63	723	0	58	5	0.0802	0.1538	0.1345	0.3998	0.4387	0.4163	0.0715	0.0000	-0.1361	0.6259	0.0069	-0.0022	0.2335	0.4665	0.4343
MITCH04	IV-B	CST-IV	2.0251	24	0.2876	740	48	692	0	45	3	0.0649	0.0958	0.0900	0.4359	0.2517	0.3647	-0.0456	0.0000	-0.2169	0.5817	-0.1602	-0.0510	0.1076	0.2905	0.3461
MITCH05	I	CST-I/III/V	0.9208	16	0.9388	697	19	678	1	16	2	0.0273	0.0251	0.0872	0.1004	0.0993	0.0043	0.0559	0.0000	-0.1184	0.3205	-0.0947	-0.0467	-0.0228	0.0114	0.0772
MITCH06	I	CST-I/III/V	2.4954	34	0.4524	1489	28	1461	0	25	3	0.0188	0.0263	0.0072	0.3486	0.1552	0.1369	-0.0286	0.0000	-0.2394	0.5940	-0.0589	-0.0258	0.0935	0.1289	0.2104
MITCH07	I	CST-I/III/V	0.8498	21	0.9292	1177	41	1136	2	34	5	0.0348	0.0616	0.0517	0.4103	0.2756	0.1203	0.0052	0.0000	-0.2157	0.5563	-0.0532	-0.0405	0.0991	0.1819	0.1721
MITCH08	I	CST-I/III/V	1.8554	39	0.5014	1484	39	1445	0	35	4	0.0263	0.1057	0.0260	0.2676	0.1207	0.1555	-0.0496	0.0000	-0.0497	0.5496	-0.0153	0.0016	0.0964	0.1798	0.2489
MITCH09	III	CST-I/III/V	1.9592	32	0.5338	715	22	693	1	20	1	0.0308	0.0381	-0.0052	0.2920	0.1907	0.1143	-0.0773	0.0000	-0.0991	0.4710	-0.1106	-0.0687	-0.0366	0.2310	0.0961
MITCH10	IV-B	CST-IV	2.4534	29	0.1888	4167	143	4024	0	142	1	0.0343	0.1499	0.0678	0.2795	0.2516	0.1406	0.0464	0.0000	-0.2714	0.4738	0.0598	0.0466	0.2692	0.1136	0.3796
MITCH11	V	CST-I/III/V	1.5879	17	0.8053	378	19	359	0	16	3	0.0503	-0.0739	0.0973	0.2614	0.4063	-0.0029	0.0043	0.0000	-0.4202	0.3170	-0.1939	-0.1228	-0.1023	-0.0663	0.1053
MITCH12	IV-B	CST-IV	3.1321	48	0.0053	3165	348	2817	4	322	22	0.1100	0.2108	0.0354	0.3233	0.1590	0.3020	-0.0119	0.0000	0.0073	0.5953	0.0855	0.2541	0.5399	0.3308	0.6078
MITCH13	IV-B	CST-IV	2.4251	32	0.0675	3715	183	3532	0	179	4	0.0493	0.2022	0.0428	0.4018	0.1992	0.2719	0.0242	0.0000	-0.0466	0.5026	0.0934	0.0504	0.3506	0.2486	0.4541
MITCH14	IV-B	CST-IV	1.1164	16	0.0093	942	23	919	0	21	2	0.0244	0.0329	-0.0310	0.1159	0.0215	-0.0119	-0.1100	0.0000	-0.3413	0.2916	-0.0669	0.0063	-0.0012	0.0014	0.0938
MITCH15	III	CST-I/III/V	2.0440	28	0.7142	1762	66	1696	0	61	5	0.0375	0.2168	0.0917	0.5427	0.3717	0.2639	0.0409	0.0000	-0.3615	0.7002	0.0739	0.1971	0.3664	0.2206	0.5062
MITCH16	I	CST-I/III/V	1.7110	27	0.8078	10045	96	9949	5	89	2	0.0096	0.1431	0.0552	0.4240	0.1519	0.1836	0.0182	0.0000	-0.1923	0.6443	0.0859	0.0245	0.2764	0.1239	0.3811
MITCH17	IV-B	CST-IV	3.3074	52	0.0438	2656	327	2329	0	308	19	0.1231	0.2019	-0.0168	0.3121	0.1543	0.2351	-0.0477	0.0000	-0.0159	0.5429	0.0112	0.1410	0.4516	0.3136	0.5460
MITCH18	IV-B	CST-IV	2.9276	54	0.0517	6978	376	6602	5	362	9	0.0539	0.2312	0.0437	0.3694	0.2496	0.3401	0.0336	0.0000	-0.0919	0.5970	0.0882	0.1515	0.5315	0.3332	0.5913
MITCH19	IV-B	CST-IV	2.7883	47	0.0034	2049	176	1873	0	166	10	0.0859	0.1949	-0.0366	0.3352	0.1176	0.2492	0.0052	0.0000	0.0223	0.5409	0.0641	0.2796	0.4970	0.2626	0.5685
MITCH20	IV-B	CST-IV	1.9685	26	0.0613	430	20	410	0	18	2	0.0465	-0.0010	-0.0494	-0.0434	0.1766	-0.0668	-0.1391	0.0000	-0.4052	0.4387	-0.1569	-0.1382	-0.0216	-0.0254	0.1104
MITCH21	IV-B	CST-IV	2.5626	35	0.0111	1714	225	1489	0	216	9	0.1313	0.1919	0.0544	0.3448	0.2954	0.2747	0.0528	0.0000	-0.0323	0.6014	0.0288	0.1909	0.5134	0.3250	0.6227
MITCH22	IV-B	CST-IV	2.9086	41	0.0095	2623	294	2329	0	275	19	0.1121	0.2424	0.0945	0.3554	0.2250	0.3584	0.0495	0.0000	0.0801	0.5586	0.1076	0.2967	0.5786	0.3595	0.5718
MITCH23	IV-B	CST-IV	2.8021	53	0.0028	4057	249	3808	1	234	14	0.0614	0.1284	-0.0223	0.2308	0.1120	0.1546	-0.0090	0.0000	-0.0065	0.5403	0.0114	0.0839	0.2773	0.2219	0.4320
MITCH24	IV-B	CST-IV	2.2705	22	0.0186	2222	32	2190	0	28	4	0.0144	0.0542	0.0070	0.2032	0.0669	0.0772	-0.0391	0.0000	-0.2054	0.5276	-0.0166	-0.0248	0.1297	0.0679	0.2508
MITCH25	IV-B	CST-IV	2.3517	30	0.1751	832	30	802	0	26	4	0.0361	0.0880	0.0179	0.2291	0.1704	0.1496	-0.0018	0.0000	-0.1245	0.4407	-0.1097	-0.0741	0.0476	0.1843	0.1861
MITCH26	IV-B	CST-IV	2.5742	33	0.0037	1526	155	1371	0	151	4	0.1016	0.1652	0.0115	0.3437	0.2536	0.3242	-0.0175	0.0000	-0.0186	0.5685	-0.0230	0.0456	0.3304	0.3669	0.5191
MITCH27	IV-B	CST-IV	1.7208	32	0.0027	5824	89	5735	0	86	3	0.0153	0.0703	-0.0415	0.2707	0.1187	0.1526	-0.0728	0.0000	-0.1110	0.4718	0.0115	-0.0076	0.2550	0.1424	0.4689
MITCH28	IV-B	CST-IV	2.2089	27	0.2548	725	44	681	1	42	1	0.0607	0.0873	0.0192	0.2413	0.2468	0.2197	0.0595	0.0000	-0.1555	0.5104	-0.1157	-0.0600	0.1486	0.2329	0.2941
