length_bin	length_bp	tool	metric	point	ci_lo	ci_hi	se
L500_fragments	500	DeepVirFinder	MCC	0.1071	0.0904	0.1246	0.0089
L500_fragments	500	DeepVirFinder	AUPRC	0.1249	0.1106	0.1424	0.0081
L500_fragments	500	DeepVirFinder	F1	0.1758	0.1601	0.1919	0.0081
L500_fragments	500	DeepVirFinder	precision	0.1291	0.1163	0.1421	0.0064
L500_fragments	500	DeepVirFinder	recall	0.2756	0.2522	0.3013	0.0123
L500_fragments	500	HVSeeker	MCC	0.0144	-0.0001	0.0281	0.0072
L500_fragments	500	HVSeeker	AUPRC	0.0649	0.0609	0.069	0.0021
L500_fragments	500	HVSeeker	F1	0.1184	0.1101	0.1268	0.0043
L500_fragments	500	HVSeeker	precision	0.0665	0.0616	0.0714	0.0025
L500_fragments	500	HVSeeker	recall	0.5394	0.512	0.5668	0.0142
L500_fragments	500	Jaeger	MCC	0.0	0.0	0.0	0.0
L500_fragments	500	Jaeger	AUPRC		NA	NA	NA
L500_fragments	500	Jaeger	F1	0.0	0.0	0.0	0.0
L500_fragments	500	Jaeger	precision	0.0	0.0	0.0	0.0
L500_fragments	500	Jaeger	recall	0.0	0.0	0.0	0.0
L500_fragments	500	MetaPhinder	MCC	0.0437	0.0294	0.0588	0.0077
L500_fragments	500	MetaPhinder	AUPRC	0.0691	0.0645	0.0738	0.0023
L500_fragments	500	MetaPhinder	F1	0.1306	0.1191	0.1416	0.0057
L500_fragments	500	MetaPhinder	precision	0.0804	0.073	0.0877	0.0037
L500_fragments	500	MetaPhinder	recall	0.348	0.3231	0.3757	0.0137
L500_fragments	500	PPR-Meta	MCC	0.1046	0.0891	0.1217	0.0083
L500_fragments	500	PPR-Meta	AUPRC	0.144	0.1285	0.1631	0.0091
L500_fragments	500	PPR-Meta	F1	0.1726	0.1595	0.1863	0.0069
L500_fragments	500	PPR-Meta	precision	0.1114	0.1022	0.1211	0.0048
L500_fragments	500	PPR-Meta	recall	0.3827	0.3568	0.4109	0.0137
L500_fragments	500	Seeker	MCC	-0.0155	-0.03	-0.0017	0.0071
L500_fragments	500	Seeker	AUPRC	0.0682	0.0624	0.0746	0.0032
L500_fragments	500	Seeker	F1	0.1067	0.0988	0.1141	0.0039
L500_fragments	500	Seeker	precision	0.0596	0.055	0.064	0.0023
L500_fragments	500	Seeker	recall	0.5087	0.481	0.537	0.0142
L500_fragments	500	Sourmash	MCC	0.0	0.0	0.0	0.0
L500_fragments	500	Sourmash	AUPRC	0.0653	0.0613	0.0697	0.0021
L500_fragments	500	Sourmash	F1	0.0	0.0	0.0	0.0
L500_fragments	500	Sourmash	precision	0.0	0.0	0.0	0.0
L500_fragments	500	Sourmash	recall	0.0	0.0	0.0	0.0
L500_fragments	500	TransGINmer	MCC	0.1504	0.1363	0.1656	0.0073
L500_fragments	500	TransGINmer	AUPRC	0.1706	0.1527	0.19	0.0097
L500_fragments	500	TransGINmer	F1	0.192	0.1807	0.2037	0.006
L500_fragments	500	TransGINmer	precision	0.1137	0.1063	0.1214	0.0039
L500_fragments	500	TransGINmer	recall	0.6181	0.5918	0.6457	0.0133
L500_fragments	500	VIBRANT	MCC	0.0	0.0	0.0	0.0
L500_fragments	500	VIBRANT	AUPRC		NA	NA	NA
L500_fragments	500	VIBRANT	F1	0.0	0.0	0.0	0.0
L500_fragments	500	VIBRANT	precision	0.0	0.0	0.0	0.0
L500_fragments	500	VIBRANT	recall	0.0	0.0	0.0	0.0
L500_fragments	500	VirFinder	MCC	0.0542	0.0383	0.0698	0.0081
L500_fragments	500	VirFinder	AUPRC	0.0792	0.0713	0.0903	0.0048
L500_fragments	500	VirFinder	F1	0.1297	0.1153	0.1439	0.0074
L500_fragments	500	VirFinder	precision	0.0985	0.0869	0.1096	0.0059
L500_fragments	500	VirFinder	recall	0.1898	0.1691	0.211	0.0108
L500_fragments	500	VirSorter	MCC	0.0272	0.0	0.0484	0.0173
L500_fragments	500	VirSorter	AUPRC	0.0638	0.0605	0.0678	0.0019
L500_fragments	500	VirSorter	F1	0.0016	0.0	0.005	0.0016
L500_fragments	500	VirSorter	precision	1.0	0.0	1.0	0.4864
L500_fragments	500	VirSorter	recall	0.0008	0.0	0.0025	0.0008
L500_fragments	500	VirSorter2	MCC	0.0885	0.0579	0.1199	0.0156
L500_fragments	500	VirSorter2	AUPRC	0.072	0.0662	0.0805	0.0036
L500_fragments	500	VirSorter2	F1	0.0379	0.0243	0.0531	0.0074
L500_fragments	500	VirSorter2	precision	0.4902	0.3584	0.6275	0.07
