length_bin	length_bp	tool	TP	FP	TN	FN	precision	recall	specificity	FPR	F1	MCC	AUPRC	n_predicted	n_total	note
L500	500	DeepVirFinder	350	2361	16505	920	0.1291	0.2756	0.8749	0.1251	0.1758	0.1071	0.1249	2711	20136	thr=0.5 (+ pvalue < 0.05)
L500	500	VirSorter	1	0	18866	1269	1.0	0.0008	1.0	0.0	0.0016	0.0272	0.0638	1	20136	thr=0.5
L500	500	VirSorter2	25	26	18840	1245	0.4902	0.0197	0.9986	0.0014	0.0379	0.0885	0.072	51	20136	thr=0.5
L500	500	VirFinder	241	2206	16660	1029	0.0985	0.1898	0.8831	0.1169	0.1297	0.0542	0.0792	2447	20136	thr=0.5 (+ pvalue < 0.05)
L500	500	PPR-Meta	486	3876	14990	784	0.1114	0.3827	0.7946	0.2054	0.1726	0.1046	0.144	4362	20136	thr=0.5
L500	500	VIBRANT	0	0	18866	1270	0	0	1.0	0.0	0	0	NA	0	20136	no_output
L500	500	Seeker	646	10197	8669	624	0.0596	0.5087	0.4595	0.5405	0.1067	-0.0155	0.0682	10843	20136	thr=0.5
L500	500	MetaPhinder	442	5055	13811	828	0.0804	0.348	0.7321	0.2679	0.1306	0.0437	0.0691	5497	20136	thr=0.5
L500	500	Sourmash	0	0	18866	1270	0.0	0.0	1.0	0.0	0.0	0.0	0.0653	0	20136	thr=0.5
L500	500	geNomad	278	34	18832	992	0.891	0.2189	0.9982	0.0018	0.3515	0.4273	0.2524	312	20136	thr=0.7
L500	500	HVSeeker	685	9619	9247	585	0.0665	0.5394	0.4901	0.5099	0.1184	0.0144	0.0649	10304	20136	thr=0.5
L500	500	Jaeger	0	0	18866	1270	0	0	1.0	0.0	0	0	NA	0	20136	no_output
L500	500	TransGINmer	785	6120	12746	485	0.1137	0.6181	0.6756	0.3244	0.192	0.1504	0.1706	6905	20136	thr=0.5
L500	500	ViraLM	955	4031	14835	315	0.1915	0.752	0.7863	0.2137	0.3053	0.3032	0.397	4986	20136	thr=0.5
L1000	1000	DeepVirFinder	219	1280	8139	411	0.1461	0.3476	0.8641	0.1359	0.2057	0.1441	0.1522	1499	10049	thr=0.5 (+ pvalue < 0.05)
L1000	1000	VirSorter	4	0	9419	626	1.0	0.0063	1.0	0.0	0.0126	0.0772	0.0686	4	10049	thr=0.5
L1000	1000	VirSorter2	105	164	9255	525	0.3903	0.1667	0.9826	0.0174	0.2336	0.2242	0.1401	269	10049	thr=0.5
L1000	1000	VirFinder	133	1073	8346	497	0.1103	0.2111	0.8861	0.1139	0.1449	0.0725	0.0912	1206	10049	thr=0.5 (+ pvalue < 0.05)
L1000	1000	PPR-Meta	247	1866	7553	383	0.1169	0.3921	0.8019	0.1981	0.1801	0.1154	0.1864	2113	10049	thr=0.5
L1000	1000	VIBRANT	7	2	9417	623	0.7778	0.0111	0.9998	0.0002	0.0219	0.0883	0.0706	9	10049	thr=0.5
L1000	1000	Seeker	319	5178	4241	311	0.058	0.5063	0.4503	0.5497	0.1041	-0.0211	0.0673	5497	10049	thr=0.5
L1000	1000	MetaPhinder	309	4161	5258	321	0.0691	0.4905	0.5582	0.4418	0.1212	0.0238	0.0658	4470	10049	thr=0.5
L1000	1000	Sourmash	0	0	9419	630	0.0	0.0	1.0	0.0	0.0	0.0	0.0657	0	10049	thr=0.5
L1000	1000	geNomad	258	23	9396	372	0.9181	0.4095	0.9976	0.0024	0.5664	0.5985	0.4234	281	10049	thr=0.7
L1000	1000	HVSeeker	342	4812	4607	288	0.0664	0.5429	0.4891	0.5109	0.1183	0.0155	0.0691	5154	10049	thr=0.5
L1000	1000	Jaeger	0	0	9419	630	0	0	1.0	0.0	0	0	NA	0	10049	no_output
L1000	1000	TransGINmer	440	2465	6954	190	0.1515	0.6984	0.7383	0.2617	0.2489	0.2335	0.2981	2905	10049	thr=0.5
L1000	1000	ViraLM	570	1354	8065	60	0.2963	0.9048	0.8562	0.1438	0.4464	0.4689	0.7181	1924	10049	thr=0.5
L1500	1500	DeepVirFinder	165	981	5287	256	0.144	0.3919	0.8435	0.1565	0.2106	0.1517	0.1666	1146	6689	thr=0.5 (+ pvalue < 0.05)
L1500	1500	VirSorter	21	0	6268	400	1.0	0.0499	1.0	0.0	0.095	0.2165	0.1097	21	6689	thr=0.5
L1500	1500	VirSorter2	134	266	6002	287	0.335	0.3183	0.9576	0.0424	0.3264	0.2825	0.1904	400	6689	thr=0.5
L1500	1500	VirFinder	80	522	5746	341	0.1329	0.19	0.9167	0.0833	0.1564	0.0906	0.0997	602	6689	thr=0.5 (+ pvalue < 0.05)
L1500	1500	PPR-Meta	178	1130	5138	243	0.1361	0.4228	0.8197	0.1803	0.2059	0.1485	0.2214	1308	6689	thr=0.5
L1500	1500	VIBRANT	23	14	6254	398	0.6216	0.0546	0.9978	0.0022	0.1004	0.1716	0.0935	37	6689	thr=0.5
L1500	1500	Seeker	215	3498	2770	206	0.0579	0.5107	0.4419	0.5581	0.104	-0.0232	0.0676	3713	6689	thr=0.5
L1500	1500	MetaPhinder	173	1989	4279	248	0.08	0.4109	0.6827	0.3173	0.134	0.0486	0.07	2162	6689	thr=0.5
L1500	1500	Sourmash	0	0	6268	421	0.0	0.0	1.0	0.0	0.0	0.0	0.0674	0	6689	thr=0.5
L1500	1500	geNomad	208	24	6244	213	0.8966	0.4941	0.9962	0.0038	0.6371	0.6507	0.4843	232	6689	thr=0.7
L1500	1500	HVSeeker	229	3239	3029	192	0.066	0.5439	0.4832	0.5168	0.1178	0.0132	0.0737	3468	6689	thr=0.5
L1500	1500	Jaeger	0	0	6268	421	0	0	1.0	0.0	0	0	NA	0	6689	no_output
