tool	MCC_CST_I_mean	MCC_CST_IVB_mean	delta_IVB_minus_I	delta_CIl	delta_CIh	delta_excludes_0	n_CST_I	n_CST_IVB	precision_CST_I_mean	precision_CST_IVB_mean	precision_rel_drop_pct	recall_CST_I_mean	recall_CST_IVB_mean	precision_delta_IVB_minus_I	precision_delta_CIl	precision_delta_CIh	precision_delta_excludes_0	precision_delta_loo_min	precision_delta_loo_max	precision_delta_loo_max_omitted	FPR_CST_I_mean	FPR_CST_IVB_mean	FPR_delta_IVB_minus_I	FPR_delta_CIl	FPR_delta_CIh	FPR_delta_excludes_0
ViraLM	0.8318	0.58	-0.2518	-0.4491	-0.0464	True	4	4	0.8309	0.6324	23.89	0.9558	0.9701	-0.1985	-0.5189	0.087	False	-0.3086	-0.0393	SRR27287964	0.0952	0.2279	0.1327	0.0026	0.2891	True
geNomad	0.7787	0.6263	-0.1524	-0.3086	0.0037	False	4	4	0.9029	0.7731	14.38	0.8021	0.8129	-0.1299	-0.3732	0.0378	False	-0.1983	-0.0133	SRR27287964	0.0462	0.0868	0.0406	-0.0195	0.1266	False
VirSorter2	0.6032	0.4756	-0.1276	-0.2823	0.0187	False	4	4	0.8451	0.7122	15.72	0.6063	0.627	-0.1329	-0.3956	0.0758	False	-0.2201	-0.0071	SRR27287964	0.0577	0.0914	0.0337	-0.0243	0.119	False
TransGINmer	0.5534	0.1226	-0.4309	-0.673	-0.1424	True	4	4	0.6926	0.3961	42.81	0.7684	0.8102	-0.2965	-0.6439	0.0861	False	-0.4669	-0.1895	SRR27287964	0.2148	0.6071	0.3923	0.0622	0.7064	True
Jaeger	0.4045	0.2636	-0.1409	-0.2844	0.0037	False	4	4	0.7594	0.596	21.52	0.3915	0.3763	-0.1634	-0.5229	0.1238	False	-0.2912	0.012	SRR27287964	0.0663	0.0972	0.0309	-0.0237	0.0948	False
PPR-Meta	0.3518	0.2389	-0.1129	-0.2252	-0.0007	True	4	4	0.6865	0.5522	19.56	0.3811	0.3632	-0.1343	-0.4698	0.1809	False	-0.2758	0.0191	SRR27287964	0.0888	0.0975	0.0087	-0.0224	0.0373	False
VIBRANT	0.3368	0.2585	-0.0783	-0.1792	0.0226	False	4	4	0.8172	0.6956	14.87	0.2441	0.2427	-0.1215	-0.3684	0.0741	False	-0.2122	-0.0008	SRR27287964	0.029	0.0459	0.0169	-0.0174	0.0562	False
VirFinder	0.2962	0.1775	-0.1186	-0.2147	-0.0342	True	4	4	0.7597	0.5347	29.62	0.2232	0.2385	-0.2251	-0.5687	0.1334	False	-0.3802	-0.0633	SRR27287964	0.0342	0.067	0.0328	-0.0208	0.0991	False
VirSorter	0.2274	0.2342	0.0068	-0.0904	0.077	False	4	4	0.7726	0.7106	8.02	0.1347	0.1619	-0.062	-0.2713	0.144	False	-0.1584	0.0329	SRR27287964	0.0214	0.0123	-0.0091	-0.0197	0.0014	False
DeepVirFinder	0.205	0.1033	-0.1016	-0.1744	-0.0369	True	4	4	0.503	0.4124	18.01	0.3873	0.3862	-0.0906	-0.3915	0.3003	False	-0.2723	0.0352	SRR27287964	0.1947	0.2591	0.0644	-0.008	0.1508	False
MetaPhinder	0.1378	0.0884	-0.0495	-0.1226	0.0205	False	4	4	0.4617	0.3959	14.24	0.3158	0.2894	-0.0657	-0.3541	0.3235	False	-0.2671	0.0436	SRR27287964	0.1924	0.1566	-0.0357	-0.1426	0.0639	False
Sourmash	0.0	0.0	0.0	0.0	0.0	False	4	4	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	False	0.0	0.0		0.0	0.0	0.0	0.0	0.0	False
HVSeeker	-0.241	-0.057	0.1841	0.1048	0.2576	True	4	4	0.2642	0.3286	-24.36	0.5305	0.5057	0.0644	-0.2086	0.4672	False	-0.1342	0.1618	SRR27287964	0.7681	0.5765	-0.1916	-0.2598	-0.1264	True
Seeker	-0.3908	-0.2043	0.1865	0.0347	0.3328	True	4	4	0.2293	0.2993	-30.55	0.4863	0.4767	0.07	-0.1872	0.4758	False	-0.1323	0.1602	SRR27287964	0.857	0.7276	-0.1294	-0.2347	-0.0249	True
