# Template for table_s3_track_c_by_virus_category.tsv: row order, keys (sample, tool, virus_category) and author-owned columns.
# Blank cells are filled by scripts/07_evaluation/publish_parser_revision_tables.py
# from results/test_real/rca_concordance and Table S21; the published table is never read back.
sample	cst	tool	method_approach	tool_scope	virus_category	cell_A	cell_B	cell_D	cell_E	n_rca_positive	rca_validated_recall	rca_validated_precision
UC084_V2		DeepVirFinder			eukaryotic_virus							
UC084_V2		DeepVirFinder			phage							
UC084_V2		VirSorter			eukaryotic_virus							
UC084_V2		VirSorter			phage							
UC084_V2		VirSorter2			eukaryotic_virus							
UC084_V2		VirSorter2			phage							
UC084_V2		VirFinder			eukaryotic_virus							
UC084_V2		VirFinder			phage							
UC084_V2		PPR-Meta			eukaryotic_virus							
UC084_V2		PPR-Meta			phage							
UC084_V2		VIBRANT			eukaryotic_virus							
UC084_V2		VIBRANT			phage							
UC084_V2		Seeker			eukaryotic_virus							
UC084_V2		Seeker			phage							
UC084_V2		MetaPhinder			eukaryotic_virus							
UC084_V2		MetaPhinder			phage							
UC084_V2		Sourmash			eukaryotic_virus							
UC084_V2		Sourmash			phage							
UC084_V2		geNomad			eukaryotic_virus							
UC084_V2		geNomad			phage							
UC084_V2		HVSeeker			eukaryotic_virus							
UC084_V2		HVSeeker			phage							
UC084_V2		Jaeger			eukaryotic_virus							
UC084_V2		Jaeger			phage							
UC084_V2		TransGINmer			eukaryotic_virus							
UC084_V2		TransGINmer			phage							
UC084_V2		ViraLM			eukaryotic_virus							
UC084_V2		ViraLM			phage							
UC115_V2		DeepVirFinder			eukaryotic_virus							
UC115_V2		DeepVirFinder			phage							
UC115_V2		VirSorter			eukaryotic_virus							
UC115_V2		VirSorter			phage							
UC115_V2		VirSorter2			eukaryotic_virus							
UC115_V2		VirSorter2			phage							
UC115_V2		VirFinder			eukaryotic_virus							
UC115_V2		VirFinder			phage							
UC115_V2		PPR-Meta			eukaryotic_virus							
UC115_V2		PPR-Meta			phage							
UC115_V2		VIBRANT			eukaryotic_virus							
UC115_V2		VIBRANT			phage							
UC115_V2		Seeker			eukaryotic_virus							
UC115_V2		Seeker			phage							
UC115_V2		MetaPhinder			eukaryotic_virus							
UC115_V2		MetaPhinder			phage							
UC115_V2		Sourmash			eukaryotic_virus							
UC115_V2		Sourmash			phage							
UC115_V2		geNomad			eukaryotic_virus							
UC115_V2		geNomad			phage							
UC115_V2		HVSeeker			eukaryotic_virus							
UC115_V2		HVSeeker			phage							
UC115_V2		Jaeger			eukaryotic_virus							
UC115_V2		Jaeger			phage							
UC115_V2		TransGINmer			eukaryotic_virus							
UC115_V2		TransGINmer			phage							
UC115_V2		ViraLM			eukaryotic_virus							
UC115_V2		ViraLM			phage							
UC164_V2		DeepVirFinder			eukaryotic_virus							
UC164_V2		DeepVirFinder			phage							
UC164_V2		VirSorter			eukaryotic_virus							
UC164_V2		VirSorter			phage							
UC164_V2		VirSorter2			eukaryotic_virus							
UC164_V2		VirSorter2			phage							
UC164_V2		VirFinder			eukaryotic_virus							
UC164_V2		VirFinder			phage							
UC164_V2		PPR-Meta			eukaryotic_virus							
UC164_V2		PPR-Meta			phage							
UC164_V2		VIBRANT			eukaryotic_virus							
UC164_V2		VIBRANT			phage							
UC164_V2		Seeker			eukaryotic_virus							
UC164_V2		Seeker			phage							
UC164_V2		MetaPhinder			eukaryotic_virus							
UC164_V2		MetaPhinder			phage							
UC164_V2		Sourmash			eukaryotic_virus							
UC164_V2		Sourmash			phage							
UC164_V2		geNomad			eukaryotic_virus							
UC164_V2		geNomad			phage							
UC164_V2		HVSeeker			eukaryotic_virus							
UC164_V2		HVSeeker			phage							
UC164_V2		Jaeger			eukaryotic_virus							
UC164_V2		Jaeger			phage							
UC164_V2		TransGINmer			eukaryotic_virus							
UC164_V2		TransGINmer			phage							
UC164_V2		ViraLM			eukaryotic_virus							
UC164_V2		ViraLM			phage							
UC093_V2		DeepVirFinder			eukaryotic_virus							
UC093_V2		DeepVirFinder			phage							
UC093_V2		VirSorter			eukaryotic_virus							
UC093_V2		VirSorter			phage							
UC093_V2		VirSorter2			eukaryotic_virus							
UC093_V2		VirSorter2			phage							
UC093_V2		VirFinder			eukaryotic_virus							
UC093_V2		VirFinder			phage							
UC093_V2		PPR-Meta			eukaryotic_virus							
UC093_V2		PPR-Meta			phage							
UC093_V2		VIBRANT			eukaryotic_virus							
UC093_V2		VIBRANT			phage							
UC093_V2		Seeker			eukaryotic_virus							
UC093_V2		Seeker			phage							
UC093_V2		MetaPhinder			eukaryotic_virus							
